robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,252,-gneE1,0.384988922418932,252,47,2
bot_0,293,-gneE1,0.436790761281149,80,44,2
bot_0,608,-gneE1,0.414588493658288,356,23,2
bot_0,649,-gneE1,0.429436772180061,82,19,2
bot_0,978,-gneE1,0.425812269280708,370,9,2
bot_0,1020,-gneE1,0.428499434330631,84,9,2
bot_0,1380,-gneE1,0.428808963406286,80,30,2
bot_0,1693,-gneE1,0.428793477134708,353,300,2
bot_0,2052,-gneE1,0.428789580846283,359,277,2
bot_0,2402,-gneE1,0.42878867859878,350,243,2
bot_0,2759,-gneE1,0.428788431406674,357,178,2
bot_0,3115,-gneE1,0.428788384674866,356,155,2
bot_0,3464,-gneE1,0.428788375396344,349,124,2
bot_0,3817,-gneE1,0.428788373589719,353,93,2
bot_0,4177,-gneE1,0.428788373215245,360,26,2
bot_0,4218,-gneE1,0.428788373453511,80,22,2
bot_0,4542,-gneE1,0.428788373390157,365,8,2
bot_0,4586,-gneE1,0.42878837343661,85,9,2
bot_0,4923,-gneE1,0.428788373427242,381,9,2
bot_0,4964,-gneE1,0.42878837343431,84,8,2
bot_0,5305,-gneE1,0.428788373432929,382,9,2
bot_0,5349,-gneE1,0.428788373433932,86,10,2
bot_0,5687,-gneE1,0.428788373433728,382,9,2
bot_0,5732,-gneE1,0.428788373433877,88,9,2
bot_0,6098,-gneE1,0.428788373433894,79,30,2
bot_0,6416,-gneE1,0.428788373433893,359,305,2
bot_0,6770,-gneE1,0.428788373433893,354,232,2
bot_0,7120,-gneE1,0.428788373433893,350,198,2
bot_0,7472,-gneE1,0.428788373433893,352,126,2
bot_0,7824,-gneE1,0.428788373433893,352,92,2
bot_0,8182,-gneE1,0.428788373433893,358,22,2
bot_0,8222,-gneE1,0.428788373433893,82,18,2
bot_0,8546,-gneE1,0.428788373433893,364,9,2
bot_0,8588,-gneE1,0.428788373433893,85,9,2
bot_0,8945,-gneE1,0.428788373433893,77,32,2
bot_0,9256,-gneE1,0.428788373433893,350,302,2
bot_0,9297,-gneE1,0.428788373433893,80,5,2
bot_0,9606,-gneE1,0.428788373433893,350,275,2
bot_0,9955,-gneE1,0.428788373433893,349,202,2
bot_0,10318,-gneE1,0.428788373433893,363,186,2
bot_0,10673,-gneE1,0.428788373433893,355,157,2
bot_0,11028,-gneE1,0.428788373433893,355,85,2
bot_0,11388,-gneE1,0.428788373433893,360,57,2
bot_0,11429,-gneE1,0.428788373433893,81,54,2
bot_0,11783,-gneE1,0.428788373433893,79,60,2
bot_0,12098,-gneE1,0.428788373433893,356,334,2
bot_0,12139,-gneE1,0.428788373433893,79,35,2
bot_0,12449,-gneE1,0.428788373433893,351,301,2
bot_0,12490,-gneE1,0.428788373433893,82,2,2
bot_0,12808,-gneE1,0.428788373433893,359,277,2
bot_0,13160,-gneE1,0.428788373433893,352,250,2
bot_0,13504,-gneE1,0.428788373433893,344,169,2
bot_0,13859,-gneE1,0.428788373433893,355,142,2
bot_0,14209,-gneE1,0.428788373433893,350,108,2
bot_0,14563,-gneE1,0.428788373433893,354,78,2
bot_0,14604,-gneE1,0.428788373433893,81,77,2
bot_0,14919,-gneE1,0.428788373433893,356,9,2
bot_0,14963,-gneE1,0.428788373433893,81,10,2
bot_0,15324,-gneE1,0.428788373433893,78,31,2
bot_0,15633,-gneE1,0.428788373433893,348,298,2
bot_0,15984,-gneE1,0.428788373433893,351,265,2
bot_0,16337,-gneE1,0.428788373433893,353,191,2
bot_0,16694,-gneE1,0.428788373433893,357,123,2
bot_0,17053,-gneE1,0.428788373433893,359,56,2
bot_0,17095,-gneE1,0.428788373433893,81,54,2
bot_0,17441,-gneE1,0.428788373433893,75,59,2
bot_0,17756,-gneE1,0.428788373433893,352,330,2
bot_0,17795,-gneE1,0.428788373433893,78,25,2
bot_0,18107,-gneE1,0.428788373433893,351,293,2
bot_0,18464,-gneE1,0.428788373433893,357,262,2
bot_0,18815,-gneE1,0.428788373433893,351,231,2
bot_0,19167,-gneE1,0.428788373433893,352,199,2
bot_0,19518,-gneE1,0.428788373433893,351,124,2
bot_0,19872,-gneE1,0.428788373433893,354,53,2
bot_0,19911,-gneE1,0.428788373433893,80,49,2
bot_0,20222,-gneE1,0.428788373433893,350,25,2
bot_0,20262,-gneE1,0.428788373433893,79,22,2
bot_0,20587,-gneE1,0.428788373433893,365,9,2
bot_0,20630,-gneE1,0.428788373433893,87,10,2
bot_0,20993,-gneE1,0.428788373433893,79,35,2
bot_0,21306,-gneE1,0.428788373433893,353,306,2
bot_0,21346,-gneE1,0.428788373433893,79,3,2
bot_0,21667,-gneE1,0.428788373433893,361,281,2
bot_0,22024,-gneE1,0.428788373433893,357,208,2
bot_0,22382,-gneE1,0.428788373433893,358,186,2
bot_0,22736,-gneE1,0.428788373433893,354,152,2
bot_0,23095,-gneE1,0.428788373433893,359,83,2
bot_0,23133,-gneE1,0.428788373433893,79,77,2
bot_0,23452,-gneE1,0.428788373433893,357,9,2
bot_0,23495,-gneE1,0.428788373433893,86,8,2
bot_0,23837,-gneE1,0.428788373433893,385,9,2
bot_0,23880,-gneE1,0.428788373433893,83,8,2
bot_0,24225,-gneE1,0.428788373433893,388,9,2
bot_0,24268,-gneE1,0.428788373433893,86,8,2
bot_0,24634,-gneE1,0.428788373433893,79,38,2
bot_0,24952,-gneE1,0.428788373433893,359,311,2
bot_0,25308,-gneE1,0.428788373433893,356,235,2
bot_0,25660,-gneE1,0.428788373433893,352,198,2
bot_0,26015,-gneE1,0.428788373433893,355,174,2
bot_0,26370,-gneE1,0.428788373433893,355,147,2
bot_0,26717,-gneE1,0.428788373433893,347,109,2
bot_0,27069,-gneE1,0.428788373433893,352,31,2
bot_0,27109,-gneE1,0.428788373433893,79,27,2
bot_0,27433,-gneE1,0.428788373433893,364,9,2
bot_0,27475,-gneE1,0.428788373433893,87,8,2
bot_0,27817,-gneE1,0.428788373433893,384,8,2
bot_0,27859,-gneE1,0.428788373433893,85,7,2
bot_0,28225,-gneE1,0.428788373433893,80,34,2
bot_0,28544,-gneE1,0.428788373433893,360,311,2
bot_0,28585,-gneE1,0.428788373433893,81,18,2
bot_0,28900,-gneE1,0.428788373433893,356,290,2
bot_0,29258,-gneE1,0.428788373433893,358,221,2
bot_0,29616,-gneE1,0.428788373433893,358,195,2
bot_0,29973,-gneE1,0.428788373433893,357,172,2
bot_0,30326,-gneE1,0.428788373433893,353,149,2
bot_0,30678,-gneE1,0.428788373433893,352,75,2
bot_0,30717,-gneE1,0.428788373433893,78,72,2
bot_0,31028,-gneE1,0.428788373433893,350,48,2
bot_0,31069,-gneE1,0.428788373433893,82,45,2
bot_0,31379,-gneE1,0.428788373433893,351,13,2
bot_0,31419,-gneE1,0.428788373433893,79,9,2
bot_0,31763,-gneE1,0.428788373433893,384,9,2
bot_0,31809,-gneE1,0.428788373433893,91,9,2
bot_0,32152,-gneE1,0.428788373433893,389,9,2
bot_0,32197,-gneE1,0.428788373433893,89,8,2
bot_0,32562,-gneE1,0.428788373433893,78,34,2
bot_0,32875,-gneE1,0.428788373433893,354,305,2
bot_0,33227,-gneE1,0.428788373433893,352,229,2
bot_0,33576,-gneE1,0.428788373433893,349,196,2
bot_0,33928,-gneE1,0.428788373433893,352,171,2
bot_0,34282,-gneE1,0.428788373433893,354,98,2
bot_0,34630,-gneE1,0.428788373433893,348,19,2
bot_0,34671,-gneE1,0.428788373433893,79,18,2
bot_0,35005,-gneE1,0.428788373433893,375,8,2
bot_0,35050,-gneE1,0.428788373433893,89,8,2
bot_0,35392,-gneE1,0.428788373433893,387,9,2
bot_0,35436,-gneE1,0.428788373433893,86,8,2
bot_0,35804,-gneE1,0.428788373433893,80,37,2
bot_0,36115,-gneE1,0.428788373433893,352,304,2
bot_0,36156,-gneE1,0.428788373433893,82,4,2
bot_0,36469,-gneE1,0.428788373433893,354,276,2
bot_0,36821,-gneE1,0.428788373433893,352,247,2
bot_0,37175,-gneE1,0.428788373433893,354,172,2
bot_0,37532,-gneE1,0.428788373433893,357,141,2
bot_0,37886,-gneE1,0.428788373433893,354,63,2
