robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,79,-gneE1,0.512167339846385,,,2
bot_0,397,-gneE1,0.510113423792339,,,2
bot_0,440,-gneE1,0.522335043162204,,,2
bot_0,751,-gneE1,0.519647304167577,,,2
bot_0,1105,-gneE1,0.515938659512054,,,2
bot_0,1458,-gneE1,0.511194423939158,,,2
bot_0,1812,-gneE1,0.505245122566647,,,2
bot_0,2167,-gneE1,0.498387242421177,,,2
bot_0,2519,-gneE1,0.490624419954223,,,2
bot_0,2876,-gneE1,0.482007379629655,,,2
bot_0,3229,-gneE1,0.472541050932824,,,2
bot_0,3269,-gneE1,0.472846174851973,,,2
bot_0,3589,-gneE1,0.462869340114818,,,2
bot_0,3629,-gneE1,0.465803520517466,,,2
bot_0,3942,-gneE1,0.454820313212822,,,2
bot_0,3984,-gneE1,0.462208695903423,,,2
bot_0,4305,-gneE1,0.450554045966184,,,2
bot_0,4348,-gneE1,0.461226928278332,,,2
bot_0,4681,-gneE1,0.449614669738547,,,2
bot_0,4726,-gneE1,0.460334377690706,,,2
bot_0,5069,-gneE1,0.448884187714168,,,2
bot_0,5111,-gneE1,0.459479643546994,,,2
bot_0,5448,-gneE1,0.448070485067359,,,2
bot_0,5494,-gneE1,0.458467721328654,,,2
bot_0,5836,-gneE1,0.447173856841867,,,2
bot_0,5879,-gneE1,0.457489955385947,,,2
bot_0,6219,-gneE1,0.446281352898605,,,2
bot_0,6265,-gneE1,0.456536174076317,,,2
bot_0,6605,-gneE1,0.445461372656454,,,2
bot_0,6645,-gneE1,0.455864714923037,,,2
bot_0,6985,-gneE1,0.44486452308435,,,2
bot_0,7028,-gneE1,0.455116059477672,,,2
bot_0,7371,-gneE1,0.444148624490489,,,2
bot_0,7413,-gneE1,0.454065826520527,,,2
bot_0,7753,-gneE1,0.443133762945696,,,2
bot_0,7799,-gneE1,0.453151083141593,,,2
bot_0,8140,-gneE1,0.442275151981779,,,2
bot_0,8182,-gneE1,0.452329683958539,,,2
bot_0,8520,-gneE1,0.441512791091261,,,2
bot_0,8562,-gneE1,0.451491869697545,,,2
bot_0,8900,-gneE1,0.440755817819912,,,2
bot_0,8942,-gneE1,0.450582890596217,,,2
bot_0,9278,-gneE1,0.439868134360935,,,2
bot_0,9324,-gneE1,0.449579367965339,,,2
bot_0,9659,-gneE1,0.43893839493336,,,2
bot_0,9701,-gneE1,0.448934567406395,,,2
bot_0,10039,-gneE1,0.438338831309041,,,2
bot_0,10084,-gneE1,0.448089402309878,,,2
bot_0,10423,-gneE1,0.437533989877266,,,2
bot_0,10467,-gneE1,0.447220176101946,,,2
bot_0,10802,-gneE1,0.436708685295228,,,2
bot_0,10845,-gneE1,0.446331690749252,,,2
bot_0,11186,-gneE1,0.435856270411389,,,2
bot_0,11226,-gneE1,0.445674668962629,,,2
bot_0,11571,-gneE1,0.435236484645396,,,2
bot_0,11615,-gneE1,0.444663279286648,,,2
bot_0,11953,-gneE1,0.434263161239887,,,2
bot_0,11996,-gneE1,0.443931114965707,,,2
bot_0,12331,-gneE1,0.433539933318667,,,2
bot_0,12376,-gneE1,0.443066392719687,,,2
bot_0,12711,-gneE1,0.432707405801066,,,2
bot_0,12756,-gneE1,0.442203389990802,,,2
bot_0,13093,-gneE1,0.431875596346649,,,2
bot_0,13135,-gneE1,0.441552318945283,,,2
bot_0,13474,-gneE1,0.431256259044644,,,2
bot_0,13517,-gneE1,0.440643191146645,,,2
bot_0,13845,-gneE1,0.430354128032713,,,2
bot_0,13889,-gneE1,0.439839146388492,,,2
bot_0,14229,-gneE1,0.429627301995678,,,2
bot_0,14273,-gneE1,0.438879297748402,,,2
bot_0,14617,-gneE1,0.428666706315947,,,2
bot_0,14659,-gneE1,0.438086412120724,,,2
bot_0,14995,-gneE1,0.427906610551402,,,2
bot_0,15036,-gneE1,0.437393830123546,,,2
bot_0,15379,-gneE1,0.427264310457466,,,2
bot_0,15421,-gneE1,0.436669382353676,,,2
bot_0,15761,-gneE1,0.426566846316491,,,2
bot_0,15802,-gneE1,0.435827901946337,,,2
bot_0,16139,-gneE1,0.42575265081087,,,2
bot_0,16184,-gneE1,0.435015422178884,,,2
bot_0,16519,-gneE1,0.424935927684416,,,2
bot_0,16564,-gneE1,0.434260514100238,,,2
bot_0,16897,-gneE1,0.424205589585968,,,2
bot_0,16942,-gneE1,0.433519807728274,,,2
bot_0,17277,-gneE1,0.423486660416163,,,2
bot_0,17321,-gneE1,0.432555174262943,,,2
bot_0,17665,-gneE1,0.422566728541691,,,2
bot_0,17709,-gneE1,0.43174422837615,,,2
bot_0,18046,-gneE1,0.421781878628488,,,2
bot_0,18089,-gneE1,0.431033855145642,,,2
bot_0,18430,-gneE1,0.421064469272212,,,2
bot_0,18475,-gneE1,0.430190445128652,,,2
bot_0,18814,-gneE1,0.420241946906295,,,2
bot_0,18861,-gneE1,0.429476122779602,,,2
bot_0,19197,-gneE1,0.419548504541952,,,2
bot_0,19244,-gneE1,0.428559077065366,,,2
bot_0,19582,-gneE1,0.418624025314974,,,2
bot_0,19625,-gneE1,0.427777310303121,,,2
bot_0,19967,-gneE1,0.417914257048103,,,2
bot_0,299,-gneE10,0.494627611061189,,,2
bot_0,538,-gneE10,0.497819744662123,,,2
bot_0,655,-gneE10,0.491253354477631,,,2
bot_0,888,-gneE10,0.495384212802642,,,2
bot_0,1004,-gneE10,0.486049940840773,,,2
bot_0,1239,-gneE10,0.491810302548973,,,2
bot_0,1360,-gneE10,0.479955590654827,,,2
bot_0,1595,-gneE10,0.487030375425126,,,2
bot_0,1948,-gneE10,0.495312129066227,,,2
bot_0,2305,-gneE10,0.50478944401729,,,2
bot_0,2420,-gneE10,0.504039378082837,,,2
bot_0,2662,-gneE10,0.514764572039813,,,2
bot_0,2781,-gneE10,0.511712605496577,,,2
bot_0,3015,-gneE10,0.523368854866224,,,2
bot_0,3131,-gneE10,0.518192297649047,,,2
bot_0,3368,-gneE10,0.52719134219272,,,2
bot_0,3488,-gneE10,0.520097920481602,,,2
bot_0,3729,-gneE10,0.529964144002776,,,2
bot_0,3846,-gneE10,0.521311158194464,,,2
bot_0,4081,-gneE10,0.532467345023479,,,2
bot_0,4199,-gneE10,0.521099343372747,,,2
bot_0,4450,-gneE10,0.53267591787285,,,2
bot_0,4576,-gneE10,0.521386767252731,,,2
bot_0,4832,-gneE10,0.532819006535151,,,2
bot_0,4960,-gneE10,0.521610413546685,,,2
bot_0,5218,-gneE10,0.532980261545622,,,2
bot_0,5346,-gneE10,0.522020137883458,,,2
bot_0,5598,-gneE10,0.533293171401644,,,2
bot_0,5728,-gneE10,0.522344886459498,,,2
bot_0,5985,-gneE10,0.533498142803243,,,2
bot_0,6112,-gneE10,0.522631345291332,,,2
bot_0,6370,-gneE10,0.533743274894282,,,2
bot_0,6499,-gneE10,0.52288585885639,,,2
bot_0,6753,-gneE10,0.533846067703717,,,2
bot_0,6881,-gneE10,0.523055751482531,,,2
bot_0,7135,-gneE10,0.533984663644694,,,2
bot_0,7265,-gneE10,0.523315557228822,,,2
bot_0,7519,-gneE10,0.53421800461986,,,2
bot_0,7647,-gneE10,0.523561173307304,,,2
bot_0,7905,-gneE10,0.534443812837852,,,2
bot_0,8033,-gneE10,0.523845348065896,,,2
bot_0,8287,-gneE10,0.534630275613985,,,2
bot_0,8417,-gneE10,0.524151653056643,,,2
bot_0,8667,-gneE10,0.534842708919976,,,2
bot_0,8793,-gneE10,0.524349739562088,,,2
bot_0,9048,-gneE10,0.534954239952559,,,2
bot_0,9173,-gneE10,0.524584821438397,,,2
bot_0,9426,-gneE10,0.535253897179648,,,2
bot_0,9555,-gneE10,0.52497698525071,,,2
bot_0,9807,-gneE10,0.535523159953283,,,2
bot_0,9934,-gneE10,0.525308595471312,,,2
bot_0,10190,-gneE10,0.53585583598565,,,2
bot_0,10315,-gneE10,0.52555640167017,,,2
bot_0,10573,-gneE10,0.536024714192019,,,2
bot_0,10697,-gneE10,0.525695306997252,,,2
bot_0,10950,-gneE10,0.536118720079478,,,2
bot_0,11079,-gneE10,0.525886131700828,,,2
bot_0,11334,-gneE10,0.536309327840129,,,2
bot_0,11464,-gneE10,0.526167247722533,,,2
bot_0,11720,-gneE10,0.536555109168912,,,2
bot_0,11847,-gneE10,0.526389803644396,,,2
bot_0,12098,-gneE10,0.536736760485597,,,2
bot_0,12229,-gneE10,0.526725710401767,,,2
bot_0,12478,-gneE10,0.537003660884183,,,2
