time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
1449,gneE2,gneJ3,gneJ4,0.686885501565288,-0.597701149425287,45,45,0,2,,,,
1470,gneE3,gneJ4,gneJ5,0.286432424320047,-2.73032200357782,86,5,81,2,,,,
1492,gneE4,gneJ5,gneJ6,0.581939103984902,-2.13337421576489,129,39,90,2,,,,
1512,gneE5,gneJ6,gneJ7,0.568953667198585,-2.19871028244274,170,79,91,2,,,,
1534,gneE10,gneJ7,gneJ14,0.586588322839726,-2.27949864948919,213,122,91,2,,,,
1556,-gneE10,gneJ14,gneJ7,0.315318365509114,-3.07306911841735,44,44,0,2,,,,
1577,-gneE5,gneJ7,gneJ6,0.413411677160274,-2.62937800583479,85,85,0,2,,,,
1597,-gneE4,gneJ6,gneJ5,0.219307001806396,-3.46841968400677,127,1,126,2,,,,
1618,-gneE3,gneJ5,gneJ4,0.251969603783498,-3.2215093692373,169,41,128,2,,,,
1638,-gneE2,gneJ4,gneJ3,0.572744173819505,-2.43726581295804,213,81,132,2,,,,
1658,-gneE1,gneJ3,gneJ2,0.170954727940588,-2.17657714095006,595,123,472,2,,,,
1680,gneE1,gneJ2,gneJ3,1,0,42,42,0,1,,,,
1702,gneE2,gneJ3,gneJ4,0.829045272059412,-0.597701149425287,84,84,0,2,,,,
1723,gneE3,gneJ4,gneJ5,0.427255826180495,-2.73032200357782,126,126,0,2,,,,
1745,gneE4,gneJ5,gneJ6,0.545715283028122,-3.0381361205268,168,16,152,2,,,,
1768,gneE5,gneJ6,gneJ7,0.633674071747944,-2.92040839565029,212,59,153,2,,,,
1789,gneE10,gneJ7,gneJ14,0.352747634440038,-3.23636139458723,255,11,244,2,,,,
1810,gneE11,gneJ14,gneJ10,0.468834319906465,-3.19789366265988,511,51,460,2,,,,
1831,gneE8,gneJ10,gneJ11,0.320587373386665,-3.43104294685968,553,92,461,2,,,,
1851,gneE9,gneJ11,gneJ12,0.136211467360955,-2.8006077718644,595,134,461,2,,,,
1874,-gneE9,gneJ12,gneJ11,1,0,43,43,0,1,,,,
1896,-gneE8,gneJ11,gneJ10,0.863788532639045,-0.953488372093023,86,86,0,2,,,,
1917,-gneE11,gneJ10,gneJ14,0.679412626613335,-2.67996916143718,128,128,0,2,,,,
1937,-gneE10,gneJ14,gneJ7,0.31421194078361,-3.97839456220433,169,16,153,2,,,,
1958,-gneE5,gneJ7,gneJ6,0.471027166329822,-3.35238270067047,213,59,154,2,,,,
1980,-gneE4,gneJ6,gneJ5,0.24028381623318,-4.0715325244737,257,102,155,2,,,,
2003,gneE4,gneJ5,gneJ6,0.545715283028122,-3.0381361205268,45,45,0,2,,,,
2024,gneE5,gneJ6,gneJ7,0.759716183766819,-2.92040839565029,87,87,0,2,,,,
2046,gneE10,gneJ7,gneJ14,0.482500848663118,-3.42240790621514,129,105,24,2,,,,
