gneJ14,gneJ12,gneJ11,gneJ10,gneJ7,gneJ6,gneJ5,gneJ4,gneJ3,gneJ2
1735,288,571,1005,2084,2071,1242,418,350,174
279,140,276,275,288,304,605,2072,3276,1652
484,2508,3554,1377,297,288,292,304,314,159
