time,edge,probability (value_exp),denominator,expect,true,no.of neighbours
37,-gneE1,0.5,3.29744254140026,37,37,2
79,-gneE1,0.5,3.29744254140026,37,42,2
117,-gneE1,0.493056002051739,3.25227496010003,36,35,2
158,-gneE1,0.521613506862976,3.07421811034725,36,41,2
316,-gneE1,0.402213485680465,2.46018333588776,29,15,2
358,-gneE1,0.264306988577462,3.7438242562792,29,12,2
400,-gneE1,0.438827022440746,2.25491791603154,29,54,2
643,-gneE1,0.49320694630646,2.00629557704072,29,297,2
682,-gneE1,0.489961124324719,2.01958658720975,29,25,2
723,-gneE1,0.476191030230744,2.07798730366871,29,21,2
765,-gneE1,0.458751049575994,2.15698452538689,29,18,2
808,-gneE1,0.437969888752065,2.25933092742953,29,16,2
847,-gneE1,0.441702905590872,2.24023637249276,29,12,2
1007,-gneE1,0.462341347595627,2.14023452604084,29,81,2
1049,-gneE1,0.446650955370097,2.21541878069082,29,32,2
1091,-gneE1,0.432329996684525,2.288804668954,29,28,2
1132,-gneE1,0.424855613424833,2.32907106243397,29,25,2
1170,-gneE1,0.435153558709587,2.27395340135733,29,18,2
1211,-gneE1,0.579363195748448,1.70794231011189,29,59,2
1252,-gneE1,0.460124810705831,1.33072126561464,25,13,2
1290,-gneE1,0.24857682671935,2.46321380204302,25,7,2
1334,-gneE1,0.422499574833935,1.44922718723167,25,51,2
1871,-gneE1,0.61590003172519,0.994151386432079,25,588,2
2112,-gneE1,0.980809609034186,19.8981624016498,185.8,829,2
2153,-gneE1,0.960364089201528,9.63402904831543,161.666666666667,41,2
2196,-gneE1,0.92306325281836,4.96321367847022,144.714285714286,43,2
2237,-gneE1,0.8576502821963,2.68250279579405,131.75,41,2
2279,-gneE1,0.757826507952479,1.57677668501385,121.777777777778,42,2
2320,-gneE1,0.622787848774242,1.01230438825494,113.7,41,2
2360,-gneE1,0.468847888147579,0.718915556331284,107,40,2
2401,-gneE1,0.619244099561887,0.544312074319053,107,41,2
2441,-gneE1,0.564389484965114,0.475769125913066,104.833333333333,81,2
2483,-gneE1,0.420431099330896,0.357593434943491,100,42,2
2531,-gneE1,0.603420266728614,0.249152057457194,100,48,2
2573,-gneE1,0.580837321202602,0.235728659750622,99.2857142857143,90,2
2613,-gneE1,0.436788049138746,0.175437783838384,95.3333333333333,40,2
2664,-gneE1,0.617157210707781,0.124164679628569,95.3333333333333,51,2
3461,-gneE1,0.995651650935251,10.9318620866809,142.375,848,2
3500,-gneE1,0.991161384100863,5.37816699164588,136.294117647059,39,2
3540,-gneE1,0.982453872752707,2.70917631056795,130.944444444444,40,2
3582,-gneE1,0.966361239743187,1.4131184359254,126.263157894737,42,2
3622,-gneE1,0.936187221390422,0.744922150646512,121.95,40,2
3666,-gneE1,0.886752729042628,0.419750090918033,118.238095238095,44,2
3708,-gneE1,0.805954261825569,0.244970864744506,114.772727272727,42,2
3750,-gneE1,0.690027498937871,0.153354094694511,111.608695652174,42,2
3791,-gneE1,0.544270882567454,0.10430659455858,108.666666666667,41,2
3831,-gneE1,0.390595912807957,0.078003336832883,105.92,40,2
3870,-gneE1,0.39430691563081,0.077269211734631,105.92,39,2
3911,-gneE1,0.404763161126156,0.075273116425756,105.92,80,2
3949,-gneE1,0.450435741511202,0.06764069043475,105.92,118,2
3988,-gneE1,0.517595372515624,0.058864097652625,105.92,157,2
4028,-gneE1,0.704904241822954,0.096227452660576,109.423076923077,197,2
4069,-gneE1,0.563243926757831,0.065016412684371,106.888888888889,41,2
4111,-gneE1,0.414832644022164,0.048526823668875,104.571428571429,42,2
4152,-gneE1,0.577525787442196,0.034856470492362,104.571428571429,41,2
4191,-gneE1,0.520963024428098,0.030740758385559,103.724137931034,80,2
4234,-gneE1,0.379119652276666,0.023717870887366,101.7,43,2
4272,-gneE1,0.312196870275264,0.028802053510763,101.7,38,2
4314,-gneE1,0.308326705926291,0.029163581326979,101.7,80,2
4355,-gneE1,0.323925697759407,0.027759177569912,101.7,121,2
4395,-gneE1,0.367019236335801,0.024499835630779,101.7,161,2
4436,-gneE1,0.448732623202941,0.02003846054111,101.7,202,2
4476,-gneE1,0.388265224653413,0.023159197354303,101.7,16,2
4517,-gneE1,0.326470721400177,0.027542779104344,101.7,12,2
4557,-gneE1,0.277996860323508,0.032345368768183,101.7,9,2
4598,-gneE1,0.230351402373676,0.03903562500989,101.7,6,2
4639,-gneE1,0.190036859934839,0.047316667759319,101.7,3,2
5083,-gneE1,0.353229683185131,0.025456272197963,101.7,311,2
5123,-gneE1,0.57440594511903,0.015654279068608,101.7,351,2
5162,-gneE1,0.943393727009524,0.117696639490259,111,390,2
