gneJ14,gneJ12,gneJ11,gneJ10,gneJ7,gneJ6,gneJ5,gneJ4,gneJ3,gneJ2
1904,1358,2705,2574,776,178,164,167,164,83
155,72,143,146,203,1133,2078,2148,2176,1097
