gneJ14,gneJ12,gneJ11,gneJ10,gneJ7,gneJ6,gneJ5,gneJ4,gneJ3,gneJ2
3007,90,659,1622,3042,1311,247,40,28,13
29,14,27,27,31,33,45,310,4394,4112
