robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_1,519,-gneE1,0.494469769732353,376,246,2
bot_1,904,-gneE1,0.490157828328116,385,272,2
bot_1,948,-gneE1,0.504407808916735,86,2,2
bot_1,1290,-gneE1,0.501405659052599,386,303,2
bot_1,1332,-gneE1,0.510033014716684,87,33,2
bot_1,1671,-gneE1,0.508300015830875,381,332,2
bot_1,1715,-gneE1,0.512775990016467,87,58,2
bot_1,2060,-gneE1,0.512034812412878,389,367,2
bot_1,2102,-gneE1,0.51345212744053,83,74,2
bot_1,2441,-gneE1,0.513182935948781,381,373,2
bot_1,2485,-gneE1,0.514359115206664,87,79,2
bot_1,2833,-gneE1,0.514070287437177,392,383,2
bot_1,2876,-gneE1,0.51522488594372,87,79,2
bot_1,3214,-gneE1,0.514899860103912,381,371,2
bot_1,3257,-gneE1,0.516036700313608,87,79,2
bot_1,3591,-gneE1,0.515745078805596,377,368,2
bot_1,3636,-gneE1,0.516992514161551,88,79,2
bot_1,3979,-gneE1,0.516681573615303,388,378,2
bot_1,4023,-gneE1,0.517942463937648,86,77,2
bot_1,4360,-gneE1,0.517723225214464,381,374,2
bot_1,4403,-gneE1,0.518845003314323,85,77,2
bot_1,4742,-gneE1,0.518535724630601,382,372,2
bot_1,4787,-gneE1,0.519474462580376,88,81,2
bot_1,5129,-gneE1,0.519202231241965,387,378,2
bot_1,5173,-gneE1,0.520426048531101,86,77,2
bot_1,5515,-gneE1,0.520155410713188,386,377,2
bot_1,5560,-gneE1,0.521197785256047,89,81,2
bot_1,5897,-gneE1,0.520956574379468,382,374,2
bot_1,5942,-gneE1,0.522147030584336,87,78,2
bot_1,6285,-gneE1,0.521852342403187,388,378,2
bot_1,6330,-gneE1,0.522902878673972,87,79,2
bot_1,6672,-gneE1,0.522668122851656,387,379,2
bot_1,6716,-gneE1,0.523842037562732,87,78,2
bot_1,7058,-gneE1,0.523578933516902,386,377,2
bot_1,7098,-gneE1,0.524665877970522,83,75,2
bot_1,7432,-gneE1,0.524395905060001,374,365,2
bot_1,7477,-gneE1,0.525699542445872,86,76,2
bot_1,7816,-gneE1,0.525438077834671,384,375,2
bot_1,7858,-gneE1,0.526618576889031,85,76,2
bot_1,8199,-gneE1,0.526386794072636,383,375,2
bot_1,8242,-gneE1,0.527561046848102,85,76,2
bot_1,8583,-gneE1,0.527273533128379,384,374,2
bot_1,8628,-gneE1,0.528161338819182,87,80,2
bot_1,8958,-gneE1,0.527926914371423,375,367,2
bot_1,9002,-gneE1,0.529076270115224,86,77,2
bot_1,9340,-gneE1,0.528818557898525,382,373,2
bot_1,9384,-gneE1,0.529708439522892,86,79,2
bot_1,9718,-gneE1,0.529449125531457,378,369,2
bot_1,9762,-gneE1,0.530473674402453,85,77,2
bot_1,10101,-gneE1,0.530218818639719,383,374,2
bot_1,10144,-gneE1,0.531380304444346,84,75,2
bot_1,10482,-gneE1,0.53115348760802,381,373,2
bot_1,10527,-gneE1,0.532124018432958,89,81,2
bot_1,10861,-gneE1,0.531840090609834,379,369,2
bot_1,10905,-gneE1,0.533090809782172,86,76,2
