robot,time,edge,probability (reward_coeff),expect,true,no.of neighbours
bot_0,25546,-gneE1,0.5,87,9,2
bot_0,25882,-gneE1,0.5,381,9,2
bot_0,25924,-gneE1,0.5,84,8,2
bot_0,26264,-gneE1,0.5,382,9,2
bot_0,26307,-gneE1,0.5,85,8,2
bot_0,26647,-gneE1,0.5,383,9,2
bot_0,26691,-gneE1,0.5,89,9,2
bot_0,27023,-gneE1,0.5,376,8,2
bot_0,27069,-gneE1,0.5,87,8,2
bot_0,27412,-gneE1,0.5,389,10,2
bot_0,27452,-gneE1,0.5,85,7,2
bot_0,27787,-gneE1,0.5,375,9,2
bot_0,27830,-gneE1,0.5,86,8,2
bot_0,28169,-gneE1,0.5,382,8,2
bot_0,28213,-gneE1,0.5,87,9,2
bot_0,28549,-gneE1,0.5,380,8,2
bot_0,28591,-gneE1,0.5,82,8,2
bot_0,28930,-gneE1,0.5,381,9,2
bot_0,28971,-gneE1,0.5,83,8,2
bot_0,29311,-gneE1,0.5,381,10,2
bot_0,29355,-gneE1,0.5,89,9,2
bot_0,29693,-gneE1,0.5,382,8,2
bot_0,29733,-gneE1,0.5,80,7,2
bot_0,30065,-gneE1,0.5,372,7,2
bot_0,30113,-gneE1,0.5,86,10,2
bot_0,30443,-gneE1,0.5,378,9,2
bot_0,30488,-gneE1,0.5,87,10,2
bot_0,30835,-gneE1,0.5,392,10,2
bot_0,30876,-gneE1,0.5,85,8,2
bot_0,31219,-gneE1,0.5,384,8,2
bot_0,31264,-gneE1,0.5,85,9,2
bot_0,31601,-gneE1,0.5,382,8,2
bot_0,31645,-gneE1,0.5,87,7,2
bot_0,31985,-gneE1,0.5,384,9,2
bot_0,32027,-gneE1,0.5,86,10,2
bot_0,32366,-gneE1,0.5,381,9,2
bot_0,32409,-gneE1,0.5,85,8,2
bot_0,32744,-gneE1,0.5,378,8,2
bot_0,32790,-gneE1,0.5,87,9,2
bot_0,33126,-gneE1,0.5,382,8,2
bot_0,33171,-gneE1,0.5,87,9,2
bot_0,33511,-gneE1,0.5,385,7,2
bot_0,33555,-gneE1,0.5,84,8,2
bot_0,33899,-gneE1,0.5,388,9,2
bot_0,33941,-gneE1,0.5,86,7,2
bot_0,34277,-gneE1,0.5,378,7,2
bot_0,34322,-gneE1,0.5,86,9,2
bot_0,34663,-gneE1,0.5,386,9,2
bot_0,34708,-gneE1,0.5,87,8,2
bot_0,35048,-gneE1,0.5,385,8,2
bot_0,35094,-gneE1,0.5,87,9,2
bot_0,35435,-gneE1,0.5,387,7,2
bot_0,35481,-gneE1,0.5,86,9,2
bot_0,35823,-gneE1,0.5,388,9,2
bot_0,35868,-gneE1,0.5,87,10,2
bot_0,36210,-gneE1,0.5,387,10,2
bot_0,36254,-gneE1,0.5,88,9,2
bot_0,36596,-gneE1,0.5,386,9,2
bot_0,36637,-gneE1,0.5,85,7,2
bot_0,36986,-gneE1,0.5,390,9,2
bot_0,37028,-gneE1,0.5,85,8,2
bot_0,37365,-gneE1,0.5,379,10,2
bot_0,37407,-gneE1,0.5,87,8,2
bot_0,37743,-gneE1,0.5,378,9,2
bot_0,37786,-gneE1,0.5,86,9,2
bot_0,38134,-gneE1,0.5,391,10,2
bot_0,38174,-gneE1,0.5,82,7,2
bot_0,38516,-gneE1,0.5,382,7,2
bot_0,38559,-gneE1,0.5,82,8,2
bot_0,38900,-gneE1,0.5,384,8,2
bot_0,38944,-gneE1,0.5,87,8,2
bot_0,39284,-gneE1,0.5,384,8,2
bot_0,39326,-gneE1,0.5,85,9,2
bot_0,39665,-gneE1,0.5,381,9,2
bot_0,39707,-gneE1,0.5,85,8,2
bot_0,40042,-gneE1,0.5,377,9,2
bot_0,40085,-gneE1,0.5,87,8,2
bot_0,40434,-gneE1,0.5,392,9,2
bot_0,40476,-gneE1,0.5,85,9,2
bot_0,40815,-gneE1,0.5,381,8,2
bot_0,40858,-gneE1,0.5,86,9,2
bot_0,41196,-gneE1,0.5,381,9,2
bot_0,41239,-gneE1,0.5,86,9,2
bot_0,41583,-gneE1,0.5,387,10,2
bot_0,41625,-gneE1,0.5,87,9,2
bot_0,41961,-gneE1,0.5,378,8,2
bot_0,42005,-gneE1,0.5,86,10,2
bot_0,42346,-gneE1,0.5,385,9,2
bot_0,42390,-gneE1,0.5,89,10,2
bot_0,42729,-gneE1,0.5,383,9,2
bot_0,42770,-gneE1,0.5,83,8,2
bot_0,43106,-gneE1,0.5,377,8,2
bot_0,43150,-gneE1,0.5,83,9,2
bot_0,43484,-gneE1,0.5,378,7,2
bot_0,43531,-gneE1,0.5,88,10,2
bot_0,43869,-gneE1,0.5,385,8,2
bot_0,43914,-gneE1,0.5,87,8,2
bot_0,44253,-gneE1,0.5,384,9,2
bot_0,44295,-gneE1,0.5,84,8,2
bot_0,44632,-gneE1,0.5,379,9,2
bot_0,44674,-gneE1,0.5,85,8,2
bot_0,45013,-gneE1,0.5,381,10,2
bot_0,45055,-gneE1,0.5,86,9,2
bot_0,45397,-gneE1,0.5,384,8,2
bot_0,45444,-gneE1,0.5,91,10,2
bot_0,45779,-gneE1,0.5,382,8,2
bot_0,45821,-gneE1,0.5,84,7,2
bot_0,46159,-gneE1,0.5,380,9,2
bot_0,46201,-gneE1,0.5,85,8,2
bot_0,46538,-gneE1,0.5,379,7,2
bot_0,46582,-gneE1,0.5,84,9,2
bot_0,46920,-gneE1,0.5,382,9,2
bot_0,46962,-gneE1,0.5,85,7,2
bot_0,47298,-gneE1,0.5,378,8,2
bot_0,47341,-gneE1,0.5,84,9,2
bot_0,47677,-gneE1,0.5,379,9,2
bot_0,47722,-gneE1,0.5,87,8,2
bot_0,48063,-gneE1,0.5,386,9,2
bot_0,48106,-gneE1,0.5,83,8,2
bot_0,48442,-gneE1,0.5,379,8,2
bot_0,48487,-gneE1,0.5,87,9,2
bot_0,48823,-gneE1,0.5,381,8,2
bot_0,48866,-gneE1,0.5,85,8,2
bot_0,49210,-gneE1,0.5,387,8,2
bot_0,49256,-gneE1,0.5,88,8,2
bot_0,49586,-gneE1,0.5,376,8,2
bot_0,49630,-gneE1,0.5,85,10,2
bot_0,49964,-gneE1,0.5,378,8,2
bot_0,50008,-gneE1,0.5,84,8,2
bot_0,50346,-gneE1,0.5,382,9,2
bot_0,50390,-gneE1,0.5,85,9,2
bot_0,50729,-gneE1,0.5,383,9,2
bot_0,50773,-gneE1,0.5,85,10,2
bot_0,51112,-gneE1,0.5,383,9,2
bot_0,51156,-gneE1,0.5,87,8,2
bot_0,51489,-gneE1,0.5,377,8,2
bot_0,51531,-gneE1,0.5,83,9,2
bot_0,51874,-gneE1,0.5,385,10,2
bot_0,51917,-gneE1,0.5,86,10,2
bot_0,52251,-gneE1,0.5,377,9,2
bot_0,52296,-gneE1,0.5,87,8,2
bot_0,52635,-gneE1,0.5,384,9,2
bot_0,52676,-gneE1,0.5,84,9,2
bot_0,53017,-gneE1,0.5,382,8,2
bot_0,53063,-gneE1,0.5,88,9,2
bot_0,53399,-gneE1,0.5,382,9,2
bot_0,53441,-gneE1,0.5,85,8,2
bot_0,53782,-gneE1,0.5,383,9,2
bot_0,53825,-gneE1,0.5,87,8,2
bot_0,54156,-gneE1,0.5,374,8,2
bot_0,54200,-gneE1,0.5,85,8,2
bot_0,54539,-gneE1,0.5,383,9,2
bot_0,54583,-gneE1,0.5,87,9,2
bot_0,54917,-gneE1,0.5,378,8,2
bot_0,54958,-gneE1,0.5,82,7,2
bot_0,55298,-gneE1,0.5,381,8,2
bot_0,55342,-gneE1,0.5,86,8,2
bot_0,55683,-gneE1,0.5,385,7,2
bot_0,55729,-gneE1,0.5,87,9,2
bot_0,56069,-gneE1,0.5,386,9,2
bot_0,56114,-gneE1,0.5,87,9,2
bot_0,56461,-gneE1,0.5,392,9,2
bot_0,56505,-gneE1,0.5,88,8,2
bot_0,56840,-gneE1,0.5,379,9,2
bot_0,56883,-gneE1,0.5,83,9,2
bot_0,57230,-gneE1,0.5,390,8,2
bot_0,57273,-gneE1,0.5,87,9,2
bot_0,57609,-gneE1,0.5,379,8,2
