use_sim_time,sim_length,graph,algo_name,init_bots,init_locations,random_string,avg_idle,done,max_idle,discount_factor,eps_prob,lambda_priority,length_walk,max_divisions,priority_nodes,time_periods
True,20000,circle,conscientious_reactive,2,,arv9,95.3397217916021,0,219,,,,,,,
True,20000,iitb,conscientious_reactive,2,,arv39,212.309864438998,0,760,,,,,,,
True,20000,st_line_assym,conscientious_reactive,1,,arv35,68.4358933306649,0,186,,,,,,,
True,20000,grid_5_5,conscientious_reactive,2,,arv66,133.13651130226,0,545,,,,,,,
True,20000,circle,conscientious_reactive,6,,arv51,56.2885272403047,0,200,,,,,,,
True,20000,ladder,conscientious_reactive,2,,arv40,131.32815985595,0,439,,,,,,,
True,20000,ladder,conscientious_reactive,2,,arv12,193.693944697235,0,625,,,,,,,
True,20000,iitb,conscientious_reactive,1,,arv4,336.698080803028,0,1167,,,,,,,
True,20000,ladder,conscientious_reactive,1,,arv33,199.70400830166,0,717,,,,,,,
True,20000,grid_5_5,conscientious_reactive,1,,arv3,200.059786,0,583,,,,,,,
True,20000,cair,conscientious_reactive,1,,arv1,138.07798894168,0,401,,,,,,,
True,20000,circle,conscientious_reactive,1,,arv58,103.376932312772,0,215,,,,,,,
True,20000,cair,conscientious_reactive,6,,arv50,37.5533025524775,0,252,,,,,,,
True,20000,st_line_assym,conscientious_reactive,6,,arv28,44.8561971901405,0,173,,,,,,,
True,20000,cair,conscientious_reactive,2,,arv64,90.1632828257572,0,316,,,,,,,
True,20000,st_line,conscientious_reactive,6,,arv83,98.5149042547873,0,366,,,,,,,
True,20000,st_line_assym,conscientious_reactive,6,,arv56,45.633703370337,0,174,,,,,,,
True,20000,st_line_assym,conscientious_reactive,1,,arv7,68.4037635753966,0,185,,,,,,,
True,20000,iitb,conscientious_reactive,2,,arv67,204.934686937387,0,845,,,,,,,
True,20000,iitb,conscientious_reactive,2,,arv11,229.764056300223,0,1071,,,,,,,
True,20000,st_line_assym,conscientious_reactive,2,,arv70,63.0469711370117,0,189,,,,,,,
True,20000,cair,conscientious_reactive,2,,arv8,94.5173947475559,0,354,,,,,,,
True,20000,cair,conscientious_reactive,6,,arv22,35.9254638888889,0,246,,,,,,,
True,20000,iitb,conscientious_reactive,6,,arv81,89.0885945391809,0,626,,,,,,,
True,20000,st_line,conscientious_reactive,4,,arv76,94.0720422042204,0,347,,,,,,,
True,20000,st_line,conscientious_reactive,1,,arv62,117.23964473355,0,344,,,,,,,
True,20000,st_line_assym,conscientious_reactive,4,,arv49,49.2135,0,174,,,,,,,
True,20000,ladder,conscientious_reactive,4,,arv19,111.357470373519,0,432,,,,,,,
True,20000,iitb,conscientious_reactive,4,,arv18,114.769306097276,0,721,,,,,,,
True,20000,iitb,conscientious_reactive,1,,arv32,335.415239311531,0,1124,,,,,,,
True,20000,circle,conscientious_reactive,1,,arv30,102.317633031501,0,213,,,,,,,
True,20000,cair,conscientious_reactive,4,,arv15,47.4731416666667,0,249,,,,,,,
True,20000,st_line,conscientious_reactive,1,,arv34,117.315305,0,343,,,,,,,
True,20000,cair,conscientious_reactive,2,,arv36,90.6080415131868,0,348,,,,,,,
