time,edge,old node,current node,probability (value_exp),denominator,expect,true,no.of neighbours
,,,,,,,,,7,"{'2': 0.25, '12': 0.25, '6': 0.25, '8': 0.25}","{'2': 0.25, '12': 0.5, '6': 0.75, '8': 1.0}",0.6231576202917655,2,6
,,,,,,,,,6,"{'1': 0.25, '11': 0.25, '5': 0.25, '7': 0.25}","{'1': 0.25, '11': 0.5, '5': 0.75, '7': 1.0}",0.9890404167295859,3,7
,,,,,,,,,17,"{'12': 0.31750124672530833, '22': 0.2274995844248972, '16': 0.2274995844248972, '18': 0.2274995844248972}","{'12': 0.31750124672530833, '22': 0.5450008311502055, '16': 0.7725004155751027, '18': 1.0}",0.20541861036555786,0,12
208.0,17to12,17,12,0.26594802235412335,5.2476886751493135,42.666666666666664,32.0,4
208.0,17to22,17,22,0.24468399254862558,5.2476886751493135,0.0,208.0,4
208.0,17to16,17,16,0.24468399254862558,5.2476886751493135,0.0,208.0,4
208.0,17to18,17,18,0.24468399254862558,5.2476886751493135,0.0,64.0,4
,,,,,,,,,12,"{'7': 0.2767304678645378, '17': 0.16980859640638638, '11': 0.2767304678645378, '13': 0.2767304678645378}","{'7': 0.2767304678645378, '17': 0.44653906427092416, '11': 0.723269532135462, '13': 0.9999999999999998}",0.7672755402187661,3,13
224.0,12to7,12,7,0.21733076200652568,5.908162309066889,0.0,194.0,4
224.0,12to17,12,17,0.1333594812925467,5.908162309066889,64.5,32.0,4
224.0,12to11,12,11,0.21733076200652568,5.908162309066889,0.0,224.0,4
224.0,12to13,12,13,0.4319789946944019,5.908162309066889,57.5,97.0,4
,,,,,,,,,13,"{'8': 0.25, '18': 0.25, '12': 0.25, '14': 0.25}","{'8': 0.25, '18': 0.5, '12': 0.75, '14': 1.0}",0.12926130817055193,0,8
240.0,13to8,13,8,0.25,5.136101666750966,116.0,116.0,4
240.0,13to18,13,18,0.25,5.136101666750966,144.0,96.0,4
240.0,13to12,13,12,0.25,5.136101666750966,80.0,32.0,4
240.0,13to14,13,14,0.25,5.136101666750966,0.0,81.0,4
,,,,,,,,,8,"{'3': 0.25, '13': 0.25, '7': 0.25, '9': 0.25}","{'3': 0.25, '13': 0.5, '7': 0.75, '9': 1.0}",0.04662988245874122,0,3
256.0,8to3,8,3,0.25,5.136101666750966,48.0,48.0,4
256.0,8to13,8,13,0.25,5.136101666750966,63.0,32.0,4
256.0,8to7,8,7,0.25,5.136101666750966,0.0,226.0,4
256.0,8to9,8,9,0.25,5.136101666750966,0.0,18.0,4
,,,,,,,,,3,"{'8': 0.3333333333333333, '2': 0.3333333333333333, '4': 0.3333333333333333}","{'8': 0.3333333333333333, '2': 0.6666666666666666, '4': 1.0}",0.07897359036838969,0,8
272.0,3to8,3,8,0.33333333333333337,4.186837275258268,32.0,32.0,3
272.0,3to2,3,2,0.33333333333333337,4.186837275258268,0.0,272.0,3
272.0,3to4,3,4,0.33333333333333337,4.186837275258268,0.0,20.0,3
,,,,,,,,,8,"{'3': 0.25, '13': 0.25, '7': 0.25, '9': 0.25}","{'3': 0.25, '13': 0.5, '7': 0.75, '9': 1.0}",0.2114291326450175,0,3
289.0,8to3,8,3,0.21690450288569313,4.919037670703072,40.5,33.0,4
289.0,8to13,8,13,0.2610318323714356,4.919037670703072,63.0,65.0,4
289.0,8to7,8,7,0.2610318323714356,4.919037670703072,0.0,259.0,4
289.0,8to9,8,9,0.2610318323714356,4.919037670703072,0.0,21.0,4
,,,,,,,,,3,"{'8': 0.33333333333333337, '2': 0.33333333333333337, '4': 0.33333333333333337}","{'8': 0.33333333333333337, '2': 0.6666666666666667, '4': 1.0}",0.09909359168641818,0,8
304.0,3to8,3,8,0.33333333333333337,4.186837275258268,32.0,32.0,3
304.0,3to2,3,2,0.33333333333333337,4.186837275258268,0.0,304.0,3
304.0,3to4,3,4,0.33333333333333337,4.186837275258268,0.0,52.0,3
,,,,,,,,,8,"{'3': 0.21690450288569313, '13': 0.2610318323714356, '7': 0.2610318323714356, '9': 0.2610318323714356}","{'3': 0.21690450288569313, '13': 0.47793633525712875, '7': 0.7389681676285644, '9': 1.0}",0.49776906985616065,2,7
321.0,8to3,8,3,0.21690450288569313,4.919037670703072,40.5,32.0,4
321.0,8to13,8,13,0.2610318323714356,4.919037670703072,63.0,21.0,4
321.0,8to7,8,7,0.2610318323714356,4.919037670703072,291.0,291.0,4
321.0,8to9,8,9,0.2610318323714356,4.919037670703072,0.0,53.0,4
,,,,,,,,,7,"{'2': 0.25, '12': 0.25, '6': 0.25, '8': 0.25}","{'2': 0.25, '12': 0.5, '6': 0.75, '8': 1.0}",0.3323438198688774,1,12
336.0,7to2,7,2,0.25,5.136101666750966,0.0,336.0,4
336.0,7to12,7,12,0.25,5.136101666750966,128.0,128.0,4
336.0,7to6,7,6,0.25,5.136101666750966,0.0,322.0,4
336.0,7to8,7,8,0.25,5.136101666750966,16.0,18.0,4
,,,,,,,,,12,"{'7': 0.21733076200652568, '17': 0.1333594812925467, '11': 0.21733076200652568, '13': 0.4319789946944019}","{'7': 0.21733076200652568, '17': 0.3506902432990724, '11': 0.5680210053055981, '13': 1.0}",0.2359290178673904,1,17
352.0,12to7,12,7,0.1932008188749685,6.646066120033937,0.0,31.0,4
352.0,12to17,12,17,0.22958141618497654,6.646066120033937,96.33333333333333,160.0,4
352.0,12to11,12,11,0.1932008188749685,6.646066120033937,0.0,352.0,4
352.0,12to13,12,13,0.3840169460650865,6.646066120033937,57.5,18.0,4
,,,,,,,,,17,"{'12': 0.26594802235412335, '22': 0.24468399254862558, '16': 0.24468399254862558, '18': 0.24468399254862558}","{'12': 0.26594802235412335, '22': 0.5106320149027489, '16': 0.7553160074513745, '18': 1.0}",0.3441236363587389,1,22
369.0,17to12,17,12,0.26594802235412335,5.2476886751493135,42.666666666666664,33.0,4
369.0,17to22,17,22,0.24468399254862558,5.2476886751493135,369.0,369.0,4
369.0,17to16,17,16,0.24468399254862558,5.2476886751493135,0.0,369.0,4
369.0,17to18,17,18,0.24468399254862558,5.2476886751493135,0.0,19.0,4
,,,,,,,,,22,"{'17': 0.3333333333333333, '21': 0.3333333333333333, '23': 0.3333333333333333}","{'17': 0.3333333333333333, '21': 0.6666666666666666, '23': 1.0}",0.38353101837061454,1,21
385.0,22to17,22,17,0.33333333333333337,4.186837275258268,0.0,33.0,3
385.0,22to21,22,21,0.33333333333333337,4.186837275258268,385.0,385.0,3
385.0,22to23,22,23,0.33333333333333337,4.186837275258268,0.0,385.0,3
,,,,,,,,,21,"{'16': 0.3333333333333333, '20': 0.3333333333333333, '22': 0.3333333333333333}","{'16': 0.3333333333333333, '20': 0.6666666666666666, '22': 1.0}",0.7050628047700975,2,22
400.0,21to16,21,16,0.33333333333333337,4.186837275258268,0.0,400.0,3
400.0,21to20,21,20,0.33333333333333337,4.186837275258268,0.0,400.0,3
400.0,21to22,21,22,0.33333333333333337,4.186837275258268,31.0,31.0,3
,,,,,,,,,22,"{'17': 0.33333333333333337, '21': 0.33333333333333337, '23': 0.33333333333333337}","{'17': 0.33333333333333337, '21': 0.6666666666666667, '23': 1.0}",0.2633991287046594,0,17
417.0,22to17,22,17,0.33333333333333337,4.186837275258268,65.0,65.0,3
417.0,22to21,22,21,0.33333333333333337,4.186837275258268,385.0,32.0,3
417.0,22to23,22,23,0.33333333333333337,4.186837275258268,0.0,417.0,3
,,,,,,,,,17,"{'12': 0.26594802235412335, '22': 0.24468399254862558, '16': 0.24468399254862558, '18': 0.24468399254862558}","{'12': 0.26594802235412335, '22': 0.5106320149027489, '16': 0.7553160074513745, '18': 1.0}",0.821473547833613,3,18
