time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
1375,11to10,11,10,0.205179034695337,-0.606060606060606,660,260,400,4,,,,
1393,10to15,10,15,0.08815089754238,-1.64327724721157,661,409,252,3,,,,
1410,15to16,15,16,0.37355976113504,-0.273972602739726,365,265,100,3,,,,
1426,16to21,16,21,0.289254974195231,-0.333333333333333,399,266,133,4,,,,
1443,21to20,21,20,0.527979293560124,-0.312680115273775,694,477,217,3,,,,
1461,20to15,20,15,0.779705482155775,0,68,68,0,2,,,,
1477,15to10,15,10,0.491297866965645,0,102,102,0,3,,,,
1494,10to5,10,5,0.45592455122881,0,202,202,0,3,,,,
1511,5to0,5,0,0.365686041094992,0,202,202,0,3,,,,
1528,0to1,0,1,0.613257841407942,-0.211822660098522,203,160,43,2,,,,
1543,1to2,1,2,0.254192808578148,-0.906666666666667,300,28,272,3,,,,
1558,2to7,2,7,0.222219627146283,-0.939524838012959,463,28,435,3,,,,
1574,7to8,7,8,0.186554772121662,-0.767676767676768,396,92,304,4,,,,
1590,8to13,8,13,0.309471959921517,-0.228438228438228,429,331,98,4,,,,
1606,13to12,13,12,0.181200345836412,-0.883064516129032,496,58,438,4,,,,
1622,12to11,12,11,0.163094004254613,-0.893536121673004,263,28,235,4,,,,
1638,11to16,11,16,0.223181518349338,-0.741228070175439,228,59,169,4,,,,
1654,16to17,16,17,0.082197041107198,-1.71343472750317,526,28,498,4,,,,
1671,17to22,17,22,0.199737666078427,-0.906202723146747,661,62,599,4,,,,
1686,22to23,22,23,0.205417260880691,-0.949968989042795,691,232,459,3,,,,
1702,23to24,23,24,0.219621260304155,-0.852014692277395,723,265,458,3,,,,
1717,24to19,24,19,0.732091063724323,-0.768014921619583,755,297,458,2,,,,
1733,19to14,19,14,0.33133799621557,-0.968193384223918,786,25,761,3,,,,
1749,14to9,14,9,0.153092000148587,-1.50715660236327,554,18,536,3,,,,
1764,9to4,9,4,0.154365267760852,-1.73728678950198,553,50,503,3,,,,
1780,4to3,4,3,0.209154222183901,-1.60142473560195,553,83,470,2,,,,
1796,3to8,3,8,0.407164822051671,-0.450450450450451,222,122,100,3,,,,
1813,8to7,8,7,0.388893574377024,0,255,255,0,4,,,,
1829,7to6,7,6,0.279381624550332,-0.550308008213552,487,219,268,4,,,,
1845,6to1,6,1,0.239892754160124,-0.422712933753943,317,183,134,4,,,,
1862,1to2,1,2,0.182022231043062,-1.33299895506792,319,183,136,3,,,,
1877,2to3,2,3,0.568607871236598,0,97,97,0,3,,,,
1893,3to8,3,8,0.290870035991237,-0.965914367976223,97,47,50,3,,,,
1910,8to13,8,13,0.159917896809533,-1.08468822843823,320,46,274,4,,,,
1926,13to18,13,18,0.257259045274449,-0.811779769526248,781,147,634,4,,,,
1943,18to23,18,23,0.177851095467304,-0.949416342412451,257,13,244,4,,,,
1959,23to22,23,22,0.265506284077429,-0.662280701754386,288,288,0,3,,,,
1974,22to17,22,17,0.420905584079586,-0.44375,320,178,142,3,,,,
1988,17to16,17,16,0.203326591598836,-1.00308819385742,350,186,164,4,,,,
2003,16to15,16,15,0.302975110677179,-0.656826568265682,542,186,356,4,,,,
2018,15to10,15,10,0.332988098130691,-0.659889094269871,541,184,357,3,,,,
2035,10to5,10,5,0.302240867655017,-0.659889094269871,541,184,357,3,,,,
2052,5to0,5,0,0.229911755747981,-0.658040665434381,541,185,356,3,,,,
2067,0to1,0,1,0.385350074738738,-1.13975058802645,222,16,206,2,,,,
2083,1to6,1,6,0.380618566391341,-0.982283464566929,254,49,205,3,,,,
2100,6to11,6,11,0.132241706636926,-1.22058802811941,478,4,474,4,,,,
2120,11to12,11,12,0.094931459604499,-1.7437312966869,514,8,506,4,,,,
2138,12to13,12,13,0.321956707601789,-0.333333333333333,228,152,76,4,,,,
2154,13to14,13,14,0.239883058401265,-0.976510330300722,421,275,146,4,,,,
2170,14to19,14,19,0.110402182166075,-1.88652802619778,453,273,180,3,,,,
2187,19to18,19,18,0.425073959188953,-0.750663050305557,261,242,19,3,,,,
2202,18to17,18,17,0.187882041883044,-0.914294383758137,228,205,23,4,,,,
2217,17to22,17,22,0.11497635430158,-1.70465233554985,258,52,206,4,,,,
2234,22to21,22,21,0.164492735546979,-1.59718902924775,808,84,724,3,,,,
2251,21to20,21,20,0.322312693879247,-1.16787813507576,808,117,691,3,,,,
2267,20to15,20,15,0.695202797737115,-0.439393939393939,264,148,116,2,,,,
2283,15to16,15,16,0.297819338706567,-1.0909217552821,295,54,241,3,,,,
2299,16to21,16,21,0.418695486883441,-0.333333333333333,65,65,0,4,,,,
2315,21to22,21,22,0.286271876121177,-1.28645833333333,98,98,0,3,,,,
2333,22to23,22,23,0.198882390754002,-1.56278950186331,390,151,239,3,,,,
2349,23to24,23,24,0.168822513998639,-1.17813524869161,647,436,211,3,,,,
2366,24to19,24,19,0.553405863092137,-1.55883124815019,196,41,155,2,,,,
2382,19to18,19,18,0.251294186732438,-1.54040664004915,195,41,154,3,,,,
2399,18to13,18,13,0.091210031634755,-1.71798224264491,261,90,171,4,,,,
2416,13to8,13,8,0.115493084427628,-1.82539355455966,523,139,384,4,,,,
2430,8to7,8,7,0.297751204426359,-0.750405186385737,617,154,463,4,,,,
2446,7to2,7,2,0.148402876452178,-1.37974353859112,584,57,527,4,,,,
2461,2to3,2,3,0.348367293356633,-0.902397260273973,584,57,527,3,,,,
2477,3to4,3,4,0.161972918455814,-1.76962728627206,713,58,655,3,,,,
2494,4to9,4,9,0.600902207331536,-1.1921990121593,745,59,686,2,,,,
2511,9to14,9,14,0.233556943468817,-1.45820781142646,357,185,172,3,,,,
2527,14to13,14,13,0.728259853291302,0,128,128,0,3,,,,
2544,13to12,13,12,0.13580351368682,-1.86891357273281,424,6,418,4,,,,
2560,12to11,12,11,0.076844425819412,-1.88918829558605,460,2,458,4,,,,
2576,11to6,11,6,0.185721416298657,-1.29832772160371,493,69,424,4,,,,
2592,6to5,6,5,0.169294941732381,-1.19004368170316,557,63,494,4,,,,
2607,5to10,5,10,0.165606040918459,-1.19978919349835,589,64,525,3,,,,
2624,10to15,10,15,0.069282279760936,-2.18109237326199,357,165,192,3,,,,
2639,15to16,15,16,0.2294116632911,-1.44485433955176,356,230,126,3,,,,
2657,16to21,16,21,0.22660663256284,-1.23277467411546,358,36,322,4,,,,
2673,21to20,21,20,0.159731739421634,-2.08493974645016,422,35,387,3,,,,
2688,20to15,20,15,0.471794215052373,-1.37689393939394,64,4,60,2,,,,
2706,15to10,15,10,0.353343057079819,-1.27605071043149,99,38,61,3,,,,
2722,10to11,10,11,0.613562137999485,0,162,162,0,3,,,,
2738,11to6,11,6,0.185721416298657,-1.29832772160371,162,162,0,4,,,,
2754,6to1,6,1,0.204929475140103,-1.22329517538422,687,137,550,4,,,,
2769,1to0,1,0,0.194128296750517,-1.87260230706102,717,136,581,3,,,,
2784,0to5,0,5,0.541111311966131,-0.974933249016301,192,134,58,2,,,,
2801,5to6,5,6,0.549715523139077,0,63,63,0,3,,,,
2818,6to7,6,7,0.306019799093812,-0.931376246752158,388,264,124,4,,,,
2834,7to8,7,8,0.13937670483803,-1.61217437533227,418,65,353,4,,,,
2850,8to3,8,3,0.105915349430563,-1.94625426372481,389,8,381,4,,,,
2866,3to2,3,2,0.25377672519297,-1.67453333333333,420,7,413,3,,,,
2883,2to1,2,1,0.315962286504498,-1.00003176418271,129,129,0,3,,,,
2899,1to6,1,6,0.259730680535451,-1.92105897477101,98,6,92,3,,,,
2918,6to11,6,11,0.10227291252191,-2.1797717015888,196,8,188,4,,,,
2935,11to16,11,16,0.153923944037931,-1.71082266477003,296,9,287,4,,,,
2952,16to17,16,17,0.075982490569177,-2.39743472750317,750,237,513,4,,,,
2969,17to18,17,18,0.249922101768235,-1.11303958473586,587,238,349,4,,,,
2985,18to19,18,19,0.29801061272437,-0.890145395799677,619,68,551,4,,,,
3001,19to18,19,18,0.251294186732438,-1.54040664004915,32,32,0,3,,,,
3018,18to23,18,23,0.127238544128599,-1.93481780226647,685,10,675,4,,,,
3034,23to22,23,22,0.137679275030812,-1.56631408144841,719,69,650,3,,,,
3049,22to21,22,21,0.10264306323967,-2.32933188639061,392,105,287,3,,,,
3065,21to20,21,20,0.159731739421634,-2.08493974645016,392,392,0,3,,,,
3080,20to15,20,15,0.280491548305481,-2.205975572047,392,67,325,2,,,,
3097,15to10,15,10,0.192628412296862,-2.10469521171026,391,67,324,3,,,,
3112,10to11,10,11,0.410371021364265,-0.824742268041237,194,34,160,3,,,,
3127,11to12,11,12,0.060584643903023,-2.74201603082069,583,1,582,4,,,,
3145,12to13,12,13,0.181846733081266,-1.27993527508091,618,33,585,4,,,,
3162,13to14,13,14,0.176738111695976,-1.81368390940978,651,106,545,4,,,,
3178,14to9,14,9,0.076326693149494,-2.35218584212935,684,106,578,3,,,,
3194,9to8,9,8,0.369528240035722,-1.42913711583924,360,37,323,3,,,,
3210,8to7,8,7,0.191210600231955,-1.57438477822247,392,69,323,4,,,,
3227,7to6,7,6,0.291161997356803,-1.04725922772575,328,165,163,4,,,,
3244,6to5,6,5,0.124899284243453,-2.16830455126838,460,10,450,4,,,,
3261,5to0,5,0,0.137765589305763,-1.57064229145064,492,43,449,3,,,,
3278,0to1,0,1,0.274399945690268,-1.94734552473531,395,76,319,2,,,,
3294,1to2,1,2,0.293258816050907,-2.08299895506792,428,107,321,3,,,,
3309,2to3,2,3,0.209531990454894,-1.6039223147402,459,137,322,3,,,,
3326,3to4,3,4,0.158831935817639,-2.23252481277382,849,456,393,3,,,,
3344,4to9,4,9,0.600902207331536,-1.1921990121593,166,166,0,2,,,,
3360,9to14,9,14,0.358940440053894,-1.45820781142646,198,198,0,3,,,,
