time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
31,17to18,17,18,0.25,0,31,31,0,4,,64963,10014,64895
51,18to19,18,19,0.25,0,51,51,0,4,,10542,12163,10542
66,19to24,19,24,0.333333333333333,0,66,66,0,3,,,,
82,24to23,24,23,0.5,0,82,82,0,2,,,,
100,23to22,23,22,0.300872365693425,-0.15,100,85,15,3,,,,
117,22to21,22,21,0.278973833686477,-0.256410256410256,117,87,30,3,,,,
133,21to20,21,20,0.333333333333333,0,133,133,0,3,,,,
150,20to15,20,15,0.5,0,150,150,0,2,,,,
167,15to20,15,20,0.333333333333333,0,34,34,0,3,,,,
181,20to21,20,21,0.5,0,64,64,0,2,,,,
197,21to16,21,16,0.284637375765889,-0.228426395939086,197,152,45,3,,,,
215,16to11,16,11,0.17918659650519,-0.423255813953488,215,124,91,4,,,,
231,11to10,11,10,0.120215906677106,-0.891774891774892,231,25,206,4,,,,
248,10to5,10,5,0.177722167728952,-0.838709677419355,248,40,208,3,,,,
263,5to6,5,6,0.175830143896215,-0.851711026615969,263,39,224,3,,,,
279,6to7,6,7,0.201301108108319,-0.279569892473118,279,201,78,4,,,,
295,7to2,7,2,0.162331054904283,-0.542372881355932,295,135,160,4,,,,
312,2to1,2,1,0.220895598327651,-0.567307692307692,312,135,177,3,,,,
329,1to0,1,0,0.217588811934116,-0.586626139817629,329,136,193,3,,,,
345,0to5,0,5,0.5,0,97,97,0,2,,,,
363,5to10,5,10,0.36884587368202,-0.181818181818182,132,108,24,3,,,,
381,10to15,10,15,0.294337363422236,-0.515151515151515,231,112,119,3,,,,
399,15to20,15,20,0.231927817354717,-0.504310344827586,232,115,117,3,,,,
414,20to21,20,21,0.374017118007079,-0.515021459227468,233,113,120,2,,,,
432,21to22,21,22,0.208260589840575,-0.75,332,83,249,3,,,,
448,22to17,22,17,0.213180975831319,-0.732718894009217,434,116,318,3,,,,
463,17to12,17,12,0.220870738202456,-0.161987041036717,463,388,75,4,,,,
479,12to13,12,13,0.12003059487528,-0.893528183716075,479,51,428,4,,,,
495,13to14,13,14,0.12398985271296,-0.856565656565656,495,71,424,4,,,,
511,14to9,14,9,0.183391201363633,-0.800391389432485,511,102,409,3,,,,
528,9to8,9,8,0.200905079829059,-0.6875,528,165,363,3,,,,
543,8to3,8,3,0.142267095485451,-0.697974217311234,543,164,379,4,,,,
559,3to4,3,4,0.197853223639094,-0.706618962432916,559,164,395,3,,,,
575,4to9,4,9,0.5,0,64,64,0,2,,,,
593,9to14,9,14,0.399547460085471,0,98,98,0,3,,,,
611,14to19,14,19,0.235389997859775,-0.807142857142857,560,108,452,3,,,,
628,19to18,19,18,0.18035891582906,-0.820770519262982,597,107,490,3,,,,
644,18to23,18,23,0.142758844843493,-0.693950177935943,562,172,390,4,,,,
659,23to24,23,24,0.20873080939818,-0.711635750421585,593,171,422,3,,,,
675,24to19,24,19,0.5,0,64,64,0,2,,,,
691,19to14,19,14,0.40982054208547,0,98,98,0,3,,,,
707,14to19,14,19,0.235389997859775,-0.807142857142857,32,32,0,3,,,,
723,19to24,19,24,0.40982054208547,0,64,64,0,3,,,,
740,24to23,24,23,0.5,0,96,96,0,2,,,,
758,23to22,23,22,0.33666885481424,-0.278834355828221,326,284,42,3,,,,
775,22to21,22,21,0.164663964365454,-1.23147950848782,361,9,352,3,,,,
791,21to20,21,20,0.244084077822083,-0.892857142857143,392,42,350,3,,,,
807,20to15,20,15,0.423377838728946,-0.823943661971831,426,75,351,2,,,,
823,15to16,15,16,0.255119190326761,-0.599041533546326,626,251,375,3,,,,
838,16to11,16,11,0.107112205012984,-1.02197170480421,623,250,373,4,,,,
856,11to6,11,6,0.158358801825973,-0.790893760539629,593,124,469,4,,,,
871,6to1,6,1,0.135332891782406,-0.840787119856887,559,89,470,4,,,,
888,1to2,1,2,0.215486914980905,-0.849915682967959,593,89,504,3,,,,
904,2to7,2,7,0.213292020645947,-0.856,625,90,535,3,,,,
921,7to12,7,12,0.147543894429115,-0.805676855895197,458,89,369,4,,,,
938,12to17,12,17,0.154770344002999,-0.818367346938775,490,89,401,4,,,,
952,17to12,17,12,0.220870738202456,-0.161987041036717,31,31,0,4,,,,
968,12to13,12,13,0.07545018031738,-1.61336458453407,489,137,352,4,,,,
985,13to8,13,8,0.160311171763404,-0.770240700218818,457,105,352,4,,,,
1003,8to9,8,9,0.148412981277537,-0.831775700934579,428,72,356,4,,,,
1019,9to4,9,4,0.234824985485764,-0.773913043478261,460,104,356,3,,,,
1034,4to3,4,3,0.327177745801142,-0.720977596741344,491,137,354,2,,,,
1050,3to2,3,2,0.401073388180453,0,162,162,0,3,,,,
1066,2to1,2,1,0.284676806184887,-0.567307692307692,195,195,0,3,,,,
1083,1to0,1,0,0.179348780150796,-1.16487547668766,754,318,436,3,,,,
1098,0to5,0,5,0.369306621573625,-0.535192563081009,753,350,403,2,,,,
1115,5to10,5,10,0.20032798920681,-1.02889264990329,752,115,637,3,,,,
1130,10to11,10,11,0.310802670392153,-0.767123287671233,292,68,224,3,,,,
1145,11to16,11,16,0.212181449598079,-0.68944099378882,322,100,222,4,,,,
1160,16to21,16,21,0.180471220082534,-0.654545454545455,385,133,252,4,,,,
1177,21to22,21,22,0.176806590301326,-1.35143198090692,419,167,252,3,,,,
1193,22to23,22,23,0.424399138132016,-0.562913907284768,453,198,255,3,,,,
1210,23to18,23,18,0.247971125279268,-0.888316151202749,582,65,517,3,,,,
1227,18to19,18,19,0.132435776182772,-0.963461538461538,520,19,501,4,,,,
1243,19to14,19,14,0.218861050473465,-0.907608695652174,552,51,501,3,,,,
1259,14to13,14,13,0.365257691257282,-0.663230240549828,291,98,193,3,,,,
1275,13to12,13,12,0.245190929501816,-0.489164086687306,323,165,158,4,,,,
