0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
28,52,172,2509,2858,53,79,257,2544,2840,61,69,112,221,168,46,53,51,52,42,26,37,35,39,27
57,68,52,38,26,68,73,56,44,40,62,78,62,79,59,90,199,420,917,385,507,1168,1869,3565,2128
