0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
59,97,131,187,122,82,108,210,311,178,93,163,476,350,138,223,996,2009,267,109,1065,2441,2431,210,62
45,68,75,88,67,74,101,111,130,113,108,173,161,158,273,95,139,122,309,4718,61,95,93,387,4640
4582,598,113,75,47,4787,675,169,96,68,268,132,103,99,67,81,104,104,89,59,47,71,79,62,35
