time,edge,old node,current node,probability (value_exp),value_coeff,sum,expect,true,no.of neighbours
38,-gneE4,gneJ6,gneJ5,0.5,0.5,3.29744254140026,0,38,2
80,-gneE4,gneJ6,gneJ5,0.48750260351579,0.475,3.29847304586487,0,80,2
123,-gneE4,gneJ6,gneJ5,0.475324938869981,0.450609756097561,3.30146524343817,0,123,2
164,-gneE4,gneJ6,gneJ5,0.475324938869981,0.450609756097561,3.30146524343817,0,164,2
206,-gneE4,gneJ6,gneJ5,0.470484863522112,0.440901018233483,3.30320268935266,0,206,2
246,-gneE4,gneJ6,gneJ5,0.476565252835448,0.453096140184703,3.30107034715584,0,246,2
288,-gneE4,gneJ6,gneJ5,0.471371084689192,0.442679473518036,3.3028611338865,0,288,2
328,-gneE4,gneJ6,gneJ5,0.477452600096913,0.454874595469256,3.30080040578645,0,328,2
370,-gneE4,gneJ6,gneJ5,0.47206102530143,0.444063784658445,3.3026025049331,0,370,2
410,-gneE4,gneJ6,gneJ5,0.478143390821923,0.456258906609664,3.30059751517478,0,410,2
452,-gneE4,gneJ6,gneJ5,0.472625879268355,0.44519695970701,3.3023955061681,0,452,2
494,-gneE4,gneJ6,gneJ5,0.467583285855152,0.435075502217131,3.30439465701949,0,494,2
535,-gneE4,gneJ6,gneJ5,0.468514048617609,0.436944661095636,3.30399998947074,0,535,2
577,-gneE4,gneJ6,gneJ5,0.463769908294282,0.427412598703955,3.30613335466451,0,577,2
620,-gneE4,gneJ6,gneJ5,0.453758173869705,0.407251308381374,3.31163553904426,0,620,2
660,-gneE4,gneJ6,gneJ5,0.461279097591591,0.422402823532889,3.3073750051024,0,660,2
702,-gneE4,gneJ6,gneJ5,0.45703413560812,0.413855814985881,3.30968497412209,0,702,2
744,-gneE4,gneJ6,gneJ5,0.453034511231305,0.405791298856848,3.31208622904648,0,744,2
784,-gneE4,gneJ6,gneJ5,0.460630376828231,0.421097421305828,3.30771217468923,0,784,2
825,-gneE4,gneJ6,gneJ5,0.462136489356665,0.424127724336131,3.30693812780011,0,825,2
866,-gneE4,gneJ6,gneJ5,0.463571939790286,0.427014560363845,3.30622897184038,0,866,2
906,-gneE4,gneJ6,gneJ5,0.470715228285961,0.441363346235809,3.30311289351991,0,906,2
947,-gneE4,gneJ6,gneJ5,0.471767700738349,0.443475278653972,3.30271168131086,0,947,2
990,-gneE4,gneJ6,gneJ5,0.461209684102354,0.422263157441851,3.30741080990911,0,990,2
