time,edge,probability (value_coeff),expect,true,no.of neighbours
136,-gneE1,0.481141142421274,136,10,2
179,-gneE1,0.498302848447393,43,43,2
518,-gneE1,0.482721634894029,382,10,2
562,-gneE1,0.496936271821208,44,44,2
897,-gneE1,0.482577612060801,379,9,2
939,-gneE1,0.495795819439951,42,42,2
1281,-gneE1,0.482111508671488,384,8,2
1324,-gneE1,0.494728713295551,43,43,2
1669,-gneE1,0.481564201615454,388,9,2
1713,-gneE1,0.493620702986416,44,44,2
2049,-gneE1,0.48081674140931,380,9,2
2090,-gneE1,0.492651554360718,41,41,2
2426,-gneE1,0.480161499000409,377,10,2
2469,-gneE1,0.491607569636266,43,43,2
2811,-gneE1,0.479309533781748,385,9,2
2856,-gneE1,0.490605956721127,45,45,2
3192,-gneE1,0.478472172257226,381,8,2
3236,-gneE1,0.489680683737625,44,44,2
3572,-gneE1,0.477714400700847,380,8,2
3615,-gneE1,0.488627794205818,43,43,2
3953,-gneE1,0.476807274645387,381,8,2
3997,-gneE1,0.487872196085364,44,44,2
4338,-gneE1,0.476211256316738,385,9,2
4381,-gneE1,0.487014820594692,43,43,2
4724,-gneE1,0.475470654272819,386,9,2
4765,-gneE1,0.486179959833686,41,41,2
5100,-gneE1,0.474684311955163,376,7,2
5145,-gneE1,0.485146991537748,45,45,2
5483,-gneE1,0.473804732670476,383,9,2
5528,-gneE1,0.484208483863737,45,45,2
5863,-gneE1,0.47295596080528,380,9,2
5907,-gneE1,0.483400316877184,44,44,2
6247,-gneE1,0.472196853154605,384,8,2
6291,-gneE1,0.482446818901025,44,44,2
6626,-gneE1,0.471351463677142,379,9,2
6667,-gneE1,0.481614065923952,41,41,2
7006,-gneE1,0.470617603459685,380,10,2
7048,-gneE1,0.480591318410897,42,42,2
7380,-gneE1,0.469603764957439,374,8,2
7427,-gneE1,0.479676014846588,47,47,2
7764,-gneE1,0.468773537199994,384,9,2
7808,-gneE1,0.478789568386956,44,44,2
8142,-gneE1,0.467919399775528,378,8,2
8185,-gneE1,0.477869964748579,43,43,2
8524,-gneE1,0.467081338934037,382,9,2
8566,-gneE1,0.476955030084984,42,42,2
8902,-gneE1,0.466162440368215,378,7,2
8945,-gneE1,0.476080606123147,43,43,2
9279,-gneE1,0.465366590798162,377,8,2
9323,-gneE1,0.475277516313069,44,44,2
9664,-gneE1,0.464662774808376,385,10,2
9707,-gneE1,0.474415389976836,43,43,2
10037,-gneE1,0.463795152117192,373,8,2
10081,-gneE1,0.473597435581082,44,44,2
10423,-gneE1,0.46306871248146,386,10,2
10467,-gneE1,0.472658622870718,44,44,2
10803,-gneE1,0.462174898376338,380,10,2
10847,-gneE1,0.471936107065129,44,44,2
11179,-gneE1,0.461465332790603,376,9,2
11222,-gneE1,0.471025717768942,43,43,2
11562,-gneE1,0.460615878517556,383,10,2
11603,-gneE1,0.470258331725825,41,41,2
11946,-gneE1,0.459856257669266,384,9,2
11988,-gneE1,0.469513513215551,42,42,2
12333,-gneE1,0.459144716256338,387,9,2
12376,-gneE1,0.468632871204071,43,43,2
12710,-gneE1,0.458303639360222,377,9,2
12754,-gneE1,0.467799781054211,44,44,2
13096,-gneE1,0.457497275379052,386,9,2
13139,-gneE1,0.466925574159396,43,43,2
13477,-gneE1,0.456629755318376,381,8,2
13520,-gneE1,0.466002897266951,43,43,2
13861,-gneE1,0.45576299525156,384,9,2
13904,-gneE1,0.465270156924032,43,43,2
14243,-gneE1,0.455060645597948,382,9,2
14283,-gneE1,0.464621122745428,40,40,2
14626,-gneE1,0.454439217746212,383,9,2
14670,-gneE1,0.463893234361199,44,44,2
15009,-gneE1,0.453738698700487,383,9,2
15055,-gneE1,0.463094727946893,46,46,2
15387,-gneE1,0.452942173992851,378,8,2
