time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,no.of neighbours
1549.0,gneE2,gneJ3,gneJ4,1.0,41.39073824122115,32.0,22.0,2
1572.0,-gneE2,gneJ4,gneJ3,1.0,47.28738420429025,24.285714285714285,25.0,2
1594.0,gneE2,gneJ3,gneJ4,1.0,36.5631520343246,31.82758620689655,27.0,2
1616.0,-gneE2,gneJ4,gneJ3,1.0,52.8046255836006,24.482758620689655,30.0,2
1637.0,gneE2,gneJ3,gneJ4,1.0,47.3631520343246,32.2,43.0,2
1660.0,-gneE2,gneJ4,gneJ3,1.0,60.07129225026726,24.733333333333334,32.0,2
1681.0,gneE2,gneJ3,gneJ4,1.0,58.78250687303428,32.58064516129032,44.0,2
1703.0,-gneE2,gneJ4,gneJ3,1.0,68.07129225026726,25.0,33.0,2
1725.0,gneE2,gneJ3,gneJ4,1.0,69.84500687303428,32.9375,44.0,2
1749.0,-gneE2,gneJ4,gneJ3,1.0,78.72754225026726,25.34375,36.0,2
1770.0,gneE2,gneJ3,gneJ4,1.0,81.54197657000398,33.303030303030305,45.0,2
1793.0,-gneE2,gneJ4,gneJ3,1.0,91.00026952299453,25.727272727272727,38.0,2
1814.0,gneE2,gneJ3,gneJ4,1.0,91.92432951118045,33.61764705882353,44.0,2
1835.0,-gneE2,gneJ4,gneJ3,1.0,102.91203422887688,26.08823529411765,38.0,2
1856.0,gneE2,gneJ3,gneJ4,1.0,100.06718665403758,33.857142857142854,42.0,2
1877.0,-gneE2,gneJ4,gneJ3,1.0,115.45489137173402,26.457142857142856,39.0,2
1899.0,gneE2,gneJ3,gneJ4,1.0,108.95607554292647,34.111111111111114,43.0,2
1922.0,-gneE2,gneJ4,gneJ3,1.0,129.5937802606229,26.86111111111111,41.0,2
1944.0,gneE2,gneJ3,gneJ4,1.0,119.55067013752107,34.4054054054054,45.0,2
1966.0,-gneE2,gneJ4,gneJ3,1.0,105.40459107143371,26.18918918918919,2.0,2
1993.0,gneE2,gneJ3,gneJ4,1.0,93.8401438217316,33.71052631578947,8.0,2
2015.0,-gneE2,gneJ4,gneJ3,1.0,89.64143317669686,25.763157894736842,10.0,2
2038.0,gneE2,gneJ3,gneJ4,1.0,71.71193869352646,33.12820512820513,11.0,2
2060.0,-gneE2,gneJ4,gneJ3,1.0,77.20553574079943,25.435897435897434,13.0,2
2081.0,gneE2,gneJ3,gneJ4,1.0,53.061938693526464,32.65,14.0,2
2103.0,-gneE2,gneJ4,gneJ3,1.0,67.03053574079944,25.175,15.0,2
2127.0,gneE2,gneJ3,gneJ4,1.0,39.744865522794754,32.31707317073171,19.0,2
2148.0,-gneE2,gneJ4,gneJ3,1.0,61.006145496897,25.024390243902438,19.0,2
2170.0,gneE2,gneJ3,gneJ4,1.0,28.697246475175703,32.04761904761905,21.0,2
2193.0,-gneE2,gneJ4,gneJ3,1.0,59.029955020706524,24.976190476190474,23.0,2
2215.0,gneE2,gneJ3,gneJ4,1.0,21.813525544943143,31.88372093023256,25.0,2
2238.0,-gneE2,gneJ4,gneJ3,1.0,61.00669920675304,25.023255813953487,27.0,2
2261.0,gneE2,gneJ3,gneJ4,1.0,18.018070999488597,31.795454545454547,28.0,2
2284.0,-gneE2,gneJ4,gneJ3,1.0,67.82488102493485,25.181818181818183,32.0,2
2307.0,gneE2,gneJ3,gneJ4,1.0,31.906959888377482,32.111111111111114,46.0,2
2330.0,-gneE2,gneJ4,gneJ3,1.0,80.35821435826819,25.466666666666665,38.0,2
2353.0,gneE2,gneJ3,gneJ4,1.0,45.49391641011661,32.41304347826087,46.0,2
2375.0,-gneE2,gneJ4,gneJ3,1.0,57.40169261913775,24.956521739130434,2.0,2
2397.0,gneE2,gneJ3,gneJ4,1.0,56.83434194203151,32.659574468085104,44.0,2
2419.0,-gneE2,gneJ4,gneJ3,1.0,40.805947938286685,24.595744680851062,8.0,2
2441.0,gneE2,gneJ3,gneJ4,1.0,67.93850860869817,32.895833333333336,44.0,2
2462.0,-gneE2,gneJ4,gneJ3,1.0,26.514281271620018,24.291666666666668,10.0,2
2484.0,gneE2,gneJ3,gneJ4,1.0,77.83646779237165,33.10204081632653,43.0,2
2505.0,-gneE2,gneJ4,gneJ3,1.0,15.453056781824099,24.06122448979592,13.0,2
2526.0,gneE2,gneJ3,gneJ4,1.0,86.55646779237165,33.28,42.0,2
2548.0,-gneE2,gneJ4,gneJ3,1.0,5.5930567818240995,23.86,14.0,2
2570.0,gneE2,gneJ3,gneJ4,1.0,97.06627171394027,33.490196078431374,44.0,2
2591.0,-gneE2,gneJ4,gneJ3,1.0,-4.073609884842568,23.666666666666668,14.0,2
2614.0,gneE2,gneJ3,gneJ4,1.0,107.37396402163257,33.69230769230769,44.0,2
2636.0,-gneE2,gneJ4,gneJ3,0.9999999999999947,-9.631302192534875,23.557692307692307,18.0,2
2658.0,gneE2,gneJ3,gneJ4,1.0,117.48717156880238,33.886792452830186,44.0,2
2681.0,-gneE2,gneJ4,gneJ3,0.9999999999999909,-10.178472003855628,23.547169811320753,23.0,2
2703.0,gneE2,gneJ3,gneJ4,1.0,128.3945789762098,34.092592592592595,45.0,2
2723.0,-gneE2,gneJ4,gneJ3,0.9999999999999842,-10.715509040892666,23.537037037037038,23.0,2
2744.0,gneE2,gneJ3,gneJ4,1.0,119.46730624893706,33.92727272727273,25.0,2
2766.0,-gneE2,gneJ4,gneJ3,0.9999999999999998,-6.333690859074483,23.618181818181817,28.0,2
2788.0,gneE2,gneJ3,gneJ4,1.0,129.3601633917942,34.107142857142854,44.0,2
2810.0,-gneE2,gneJ4,gneJ3,1.0,0.9163091409255166,23.75,31.0,2
2833.0,gneE2,gneJ3,gneJ4,1.0,140.0619177777591,34.29824561403509,45.0,2
2854.0,-gneE2,gneJ4,gneJ3,1.0,10.00402843917113,23.912280701754387,33.0,2
2874.0,gneE2,gneJ3,gneJ4,1.0,146.64812467431082,34.41379310344828,41.0,2
2896.0,-gneE2,gneJ4,gneJ3,1.0,19.917821542619407,24.086206896551722,34.0,2
2918.0,gneE2,gneJ3,gneJ4,1.0,147.22439586075149,34.42372881355932,35.0,2
2940.0,-gneE2,gneJ4,gneJ3,1.0,32.612736796856694,24.305084745762713,37.0,2
2962.0,gneE2,gneJ3,gneJ4,1.0,156.64106252741814,34.583333333333336,44.0,2
2983.0,-gneE2,gneJ4,gneJ3,1.0,49.029403463523366,24.583333333333332,41.0,2
3004.0,gneE2,gneJ3,gneJ4,1.0,163.93614449463126,34.704918032786885,42.0,2
3024.0,-gneE2,gneJ4,gneJ3,1.0,63.209731332375824,24.81967213114754,39.0,2
3047.0,gneE2,gneJ3,gneJ4,1.0,164.22646707527642,34.70967741935484,35.0,2
3069.0,-gneE2,gneJ4,gneJ3,1.0,75.19360230011776,25.016129032258064,37.0,2
3091.0,gneE2,gneJ3,gneJ4,1.0,173.36932421813356,34.857142857142854,44.0,2
3112.0,-gneE2,gneJ4,gneJ3,1.0,88.95550706202252,25.238095238095237,39.0,2
3133.0,gneE2,gneJ3,gneJ4,1.0,180.40057421813356,34.96875,42.0,2
3154.0,-gneE2,gneJ4,gneJ3,1.0,65.09613206202252,24.859375,1.0,2
3182.0,gneE2,gneJ3,gneJ4,1.0,153.8467280642874,34.55384615384615,8.0,2
3204.0,-gneE2,gneJ4,gneJ3,1.0,89.84997821586867,25.246153846153845,50.0,2
3226.0,gneE2,gneJ3,gneJ4,1.0,130.6497583673177,34.196969696969695,11.0,2
3247.0,-gneE2,gneJ4,gneJ3,1.0,107.33482670071716,25.515151515151516,43.0,2
3270.0,gneE2,gneJ3,gneJ4,1.0,140.30647478522815,34.343283582089555,44.0,2
3293.0,-gneE2,gneJ4,gneJ3,1.0,127.5139311783291,25.82089552238806,46.0,2
3316.0,gneE2,gneJ3,gneJ4,1.0,126.17412184405168,34.13235294117647,20.0,2
3337.0,-gneE2,gneJ4,gneJ3,1.0,145.42569588421145,26.08823529411765,44.0,2
3359.0,gneE2,gneJ3,gneJ4,1.0,134.9132522788343,34.26086956521739,43.0,2
3381.0,-gneE2,gneJ4,gneJ3,1.0,163.07786979725492,26.347826086956523,44.0,2
3402.0,gneE2,gneJ3,gneJ4,1.0,143.52753799312,34.385714285714286,43.0,2
3424.0,-gneE2,gneJ4,gneJ3,1.0,179.49215551154063,26.585714285714285,43.0,2
3447.0,gneE2,gneJ3,gneJ4,1.0,153.99232672551437,34.53521126760563,45.0,2
3470.0,-gneE2,gneJ4,gneJ3,1.0,198.63300058196316,26.859154929577464,46.0,2
3492.0,gneE2,gneJ3,gneJ4,1.0,164.31177116995883,34.68055555555556,45.0,2
3513.0,-gneE2,gneJ4,gneJ3,1.0,214.54966724862982,27.083333333333332,43.0,2
3535.0,gneE2,gneJ3,gneJ4,1.0,172.51725062201362,34.794520547945204,43.0,2
3557.0,-gneE2,gneJ4,gneJ3,1.0,231.23459875547914,27.315068493150687,44.0,2
3578.0,gneE2,gneJ3,gneJ4,1.0,180.61184521660823,34.9054054054054,43.0,2
3599.0,-gneE2,gneJ4,gneJ3,1.0,245.72108524196562,27.513513513513512,42.0,2
3621.0,gneE2,gneJ3,gneJ4,1.0,188.5985118832749,35.013333333333335,43.0,2
3644.0,-gneE2,gneJ4,gneJ3,1.0,262.97441857529896,27.746666666666666,45.0,2
3665.0,gneE2,gneJ3,gneJ4,1.0,197.4669329359065,35.13157894736842,44.0,2
3685.0,-gneE2,gneJ4,gneJ3,1.0,276.05336594372,27.92105263157895,41.0,2
3707.0,gneE2,gneJ3,gneJ4,1.0,204.24615371512726,35.22077922077922,42.0,2
3727.0,-gneE2,gneJ4,gneJ3,1.0,289.9494698398239,28.103896103896105,42.0,2
3750.0,gneE2,gneJ3,gneJ4,1.0,211.92564089461445,35.32051282051282,43.0,2
3773.0,-gneE2,gneJ4,gneJ3,1.0,307.6161365064906,28.333333333333332,46.0,2
3796.0,gneE2,gneJ3,gneJ4,1.0,194.82437507182965,35.10126582278481,18.0,2
3820.0,-gneE2,gneJ4,gneJ3,1.0,326.04651625332605,28.569620253164558,47.0,2
3843.0,gneE2,gneJ3,gneJ4,1.0,184.84937507182966,34.975,25.0,2
3864.0,-gneE2,gneJ4,gneJ3,1.0,324.49651625332604,28.55,27.0,2
3886.0,gneE2,gneJ3,gneJ4,1.0,176.97283186195313,34.876543209876544,27.0,2
3908.0,-gneE2,gneJ4,gneJ3,1.0,324.9409606977705,28.555555555555557,29.0,2
3930.0,gneE2,gneJ3,gneJ4,1.0,172.15575869122142,34.81707317073171,30.0,2
3953.0,-gneE2,gneJ4,gneJ3,1.0,329.3312046002095,28.609756097560975,33.0,2
3974.0,gneE2,gneJ3,gneJ4,1.0,181.22804784784793,34.9277108433735,44.0,2
3996.0,-gneE2,gneJ4,gneJ3,1.0,336.63240941948663,28.698795180722893,36.0,2
4018.0,gneE2,gneJ3,gneJ4,1.0,190.19233356213365,35.035714285714285,44.0,2
4040.0,-gneE2,gneJ4,gneJ3,1.0,347.7990760861533,28.833333333333332,40.0,2
4063.0,gneE2,gneJ3,gneJ4,1.0,200.03939238566306,35.15294117647059,45.0,2
4085.0,-gneE2,gneJ4,gneJ3,1.0,322.2696643214474,28.529411764705884,3.0,2
4108.0,gneE2,gneJ3,gneJ4,1.0,209.77195052519795,35.26744186046512,45.0,2
4129.0,-gneE2,gneJ4,gneJ3,1.0,299.01385036795904,28.25581395348837,5.0,2
4150.0,gneE2,gneJ3,gneJ4,1.0,216.42712293899106,35.3448275862069,42.0,2
4171.0,-gneE2,gneJ4,gneJ3,1.0,274.04833312657973,27.96551724137931,3.0,2
4193.0,gneE2,gneJ3,gneJ4,1.0,223.99530475717287,35.43181818181818,43.0,2
4214.0,-gneE2,gneJ4,gneJ3,1.0,249.36651494476155,27.681818181818183,3.0,2
4236.0,gneE2,gneJ3,gneJ4,1.0,231.4784508245886,35.51685393258427,43.0,2
4260.0,-gneE2,gneJ4,gneJ3,1.0,245.7260655065593,27.640449438202246,24.0,2
4280.0,gneE2,gneJ3,gneJ4,1.0,239.8673397134775,35.611111111111114,44.0,2
4302.0,-gneE2,gneJ4,gneJ3,1.0,227.29273217322597,27.433333333333334,9.0,2
4322.0,gneE2,gneJ3,gneJ4,1.0,246.1860210321588,35.68131868131868,42.0,2
4344.0,-gneE2,gneJ4,gneJ3,1.0,209.06196294245674,27.23076923076923,9.0,2
4366.0,gneE2,gneJ3,gneJ4,1.0,254.41428190172402,35.77173913043478,44.0,2
4389.0,-gneE2,gneJ4,gneJ3,1.0,194.985875985935,27.07608695652174,13.0,2
4412.0,gneE2,gneJ3,gneJ4,1.0,264.5325614716165,35.88172043010753,46.0,2
4434.0,-gneE2,gneJ4,gneJ3,1.0,185.01813405045112,26.967741935483872,17.0,2
4455.0,gneE2,gneJ3,gneJ4,1.0,271.57511466310586,35.95744680851064,43.0,2
4477.0,-gneE2,gneJ4,gneJ3,1.0,177.13515532704687,26.882978723404257,19.0,2
4500.0,gneE2,gneJ3,gneJ4,1.0,280.52248308415847,36.05263157894737,45.0,2
4522.0,-gneE2,gneJ4,gneJ3,1.0,173.29305006388898,26.842105263157894,23.0,2
4545.0,gneE2,gneJ3,gneJ4,1.0,289.37664975082515,36.145833333333336,45.0,2
4567.0,-gneE2,gneJ4,gneJ3,1.0,173.44930006388898,26.84375,27.0,2
4590.0,gneE2,gneJ3,gneJ4,1.0,298.1395363487633,36.23711340206186,45.0,2
4612.0,-gneE2,gneJ4,gneJ3,1.0,176.57301140409515,26.876288659793815,30.0,2
4633.0,gneE2,gneJ3,gneJ4,1.0,304.8334138997837,36.30612244897959,43.0,2
4655.0,-gneE2,gneJ4,gneJ3,1.0,180.6546440571564,26.918367346938776,31.0,2
4678.0,gneE2,gneJ3,gneJ4,1.0,313.4394745058443,36.39393939393939,45.0,2
4701.0,-gneE2,gneJ4,gneJ3,1.0,191.62434102685336,27.03030303030303,38.0,2
4724.0,gneE2,gneJ3,gneJ4,1.0,322.9494745058443,36.49,46.0,2
4746.0,-gneE2,gneJ4,gneJ3,1.0,206.44434102685335,27.18,42.0,2
4769.0,gneE2,gneJ3,gneJ4,1.0,331.3752170801017,36.57425742574257,45.0,2
4791.0,-gneE2,gneJ4,gneJ3,1.0,182.5037469674474,26.940594059405942,3.0,2
4813.0,gneE2,gneJ3,gneJ4,1.0,338.7281582565723,36.64705882352941,44.0,2
4834.0,-gneE2,gneJ4,gneJ3,1.0,161.76845284980033,26.735294117647058,6.0,2
4856.0,gneE2,gneJ3,gneJ4,1.0,345.0194203924947,36.70873786407767,43.0,2
4878.0,-gneE2,gneJ4,gneJ3,1.0,144.20534605368383,26.563106796116504,9.0,2
4901.0,gneE2,gneJ3,gneJ4,1.0,353.23095885403313,36.78846153846154,45.0,2
4925.0,-gneE2,gneJ4,gneJ3,1.0,133.74380759214537,26.46153846153846,16.0,2
4946.0,gneE2,gneJ3,gneJ4,1.0,361.36429218736646,36.86666666666667,45.0,2
4967.0,-gneE2,gneJ4,gneJ3,1.0,125.362855211193,26.38095238095238,18.0,2
4988.0,gneE2,gneJ3,gneJ4,1.0,366.4491978477438,36.91509433962264,42.0,2
5010.0,-gneE2,gneJ4,gneJ3,1.0,120.03266653194771,26.330188679245282,21.0,2
5032.0,gneE2,gneJ3,gneJ4,1.0,352.6641511187718,36.78504672897196,23.0,2
5055.0,-gneE2,gneJ4,gneJ3,1.0,120.69621793381687,26.33644859813084,27.0,2
5076.0,gneE2,gneJ3,gneJ4,1.0,342.96970667432737,36.69444444444444,27.0,2
5098.0,-gneE2,gneJ4,gneJ3,1.0,123.33510682270575,26.36111111111111,29.0,2
5119.0,gneE2,gneJ3,gneJ4,1.0,349.2174130963457,36.75229357798165,43.0,2
5141.0,-gneE2,gneJ4,gneJ3,1.0,130.9039141621553,26.431192660550458,34.0,2
5161.0,gneE2,gneJ3,gneJ4,1.0,354.4174130963457,36.8,42.0,2
5184.0,-gneE2,gneJ4,gneJ3,1.0,140.38573234397347,26.51818181818182,36.0,2
5206.0,gneE2,gneJ3,gneJ4,1.0,362.5435392224718,36.873873873873876,45.0,2
5228.0,-gneE2,gneJ4,gneJ3,1.0,152.75510171334284,26.63063063063063,39.0,2
5250.0,gneE2,gneJ3,gneJ4,1.0,369.6060392224718,36.9375,44.0,2
5272.0,-gneE2,gneJ4,gneJ3,1.0,167.9872445704857,26.767857142857142,42.0,2
5295.0,gneE2,gneJ3,gneJ4,1.0,367.6856852401709,36.92035398230089,35.0,2
5317.0,-gneE2,gneJ4,gneJ3,1.0,176.14653660588394,26.84070796460177,35.0,2
5339.0,gneE2,gneJ3,gneJ4,1.0,374.7032290998201,36.98245614035088,44.0,2
5361.0,-gneE2,gneJ4,gneJ3,1.0,188.1991681848313,26.94736842105263,39.0,2
5383.0,gneE2,gneJ3,gneJ4,1.0,381.6597508389505,37.04347826086956,44.0,2
5405.0,-gneE2,gneJ4,gneJ3,1.0,164.46003775004868,26.73913043478261,3.0,2
5428.0,gneE2,gneJ3,gneJ4,1.0,351.8752680803298,36.78448275862069,7.0,2
5451.0,-gneE2,gneJ4,gneJ3,1.0,146.87383085349697,26.586206896551722,9.0,2
5474.0,gneE2,gneJ3,gneJ4,1.0,326.3111655162273,36.56410256410256,11.0,2
5496.0,-gneE2,gneJ4,gneJ3,1.0,132.41229239195852,26.46153846153846,12.0,2
5517.0,gneE2,gneJ3,gneJ4,1.0,302.94675873656627,36.36440677966102,13.0,2
5539.0,-gneE2,gneJ4,gneJ3,1.0,121.0478856122975,26.364406779661017,15.0,2
5562.0,gneE2,gneJ3,gneJ4,1.0,283.74507806429733,36.20168067226891,17.0,2
5584.0,-gneE2,gneJ4,gneJ3,1.0,112.75376796523868,26.294117647058822,18.0,2
5605.0,gneE2,gneJ3,gneJ4,1.0,266.686744730964,36.05833333333333,19.0,2
5626.0,-gneE2,gneJ4,gneJ3,1.0,105.52043463190535,26.233333333333334,19.0,2
5649.0,gneE2,gneJ3,gneJ4,1.0,253.7363315078235,35.950413223140494,23.0,2
5671.0,-gneE2,gneJ4,gneJ3,1.0,105.28902967322766,26.231404958677686,26.0,2
5693.0,gneE2,gneJ3,gneJ4,1.0,246.84288888487268,35.89344262295082,29.0,2
5715.0,-gneE2,gneJ4,gneJ3,1.0,109.02673459126045,26.262295081967213,30.0,2
5736.0,gneE2,gneJ3,gneJ4,1.0,242.98110026698652,35.86178861788618,32.0,2
5759.0,-gneE2,gneJ4,gneJ3,1.0,117.69340125792712,26.333333333333332,35.0,2
5782.0,gneE2,gneJ3,gneJ4,1.0,244.11013252505103,35.87096774193548,37.0,2
5805.0,-gneE2,gneJ4,gneJ3,1.0,129.2659819030884,26.427419354838708,38.0,2
5827.0,gneE2,gneJ3,gneJ4,1.0,253.166132525051,35.944,45.0,2
5849.0,-gneE2,gneJ4,gneJ3,1.0,144.7139819030884,26.552,42.0,2
5870.0,gneE2,gneJ3,gneJ4,1.0,260.166132525051,36.0,43.0,2
5891.0,-gneE2,gneJ4,gneJ3,1.0,119.36477555388205,26.349206349206348,1.0,2
