time,edge,old node,current node,probability (value_exp),value_coeff,expect,true,expect-true,no.of neighbours,,,,
1368,6to1,6,1,0.179504793200105,-0.926621160409556,586,43,543,4,,,,
1386,1to2,1,2,0.321048380216342,-0.86541737649063,587,79,508,3,,,,
1403,2to3,2,3,0.300696438361331,-0.689922480620155,258,80,178,3,,,,
1418,3to4,3,4,0.131135469222737,-1.53453638358673,258,46,212,3,,,,
1435,4to9,4,9,0.526642729530918,-0.633587786259542,131,48,83,2,,,,
1450,9to4,9,4,0.246292930002659,-0.796672828096118,32,32,0,3,,,,
1466,4to3,4,3,0.473357270469082,-0.74025974025974,63,63,0,2,,,,
1482,3to8,3,8,0.578585199274545,-0.123456790123457,162,142,20,3,,,,
1499,8to3,8,3,0.203887314422934,-0.75974025974026,33,33,0,4,,,,
1515,3to2,3,2,0.280309529179629,-0.848148148148148,129,129,0,3,,,,
1530,2to7,2,7,0.599456688639918,0,195,195,0,3,,,,
1548,7to12,7,12,0.261327953514312,-0.438271604938272,486,273,213,4,,,,
1564,12to11,12,11,0.304404415535516,-0.625912408759124,548,205,343,4,,,,
1579,11to16,11,16,0.10706029439247,-1.54199586678324,547,2,545,4,,,,
1594,16to21,16,21,0.162606836253381,-0.947286821705426,645,34,611,4,,,,
1609,21to22,21,22,0.452212669689906,-0.798816568047337,676,136,540,3,,,,
1626,22to17,22,17,0.375787955901724,-0.766839378238342,579,135,444,3,,,,
1642,17to18,17,18,0.167994945980058,-0.879716981132076,418,418,0,4,,,,
1658,18to13,18,13,0.196469089890981,-0.882758620689655,580,68,512,4,,,,
1674,13to8,13,8,0.24206260724124,-0.479166666666667,192,100,92,4,,,,
1691,8to9,8,9,0.185451937261039,-0.85451197053407,256,256,0,4,,,,
1708,9to14,9,14,0.478009248101244,-0.273809523809524,420,305,115,3,,,,
1725,14to19,14,19,0.25701363504999,-1.22541687892681,453,8,445,3,,,,
1741,19to24,19,24,0.175299936610203,-1.57854716643823,485,39,446,3,,,,
1756,24to23,24,23,0.403905863988005,-1.48006160928879,516,70,446,2,,,,
1772,23to18,23,18,0.615114564155986,0,130,130,0,3,,,,
1787,18to17,18,17,0.311859574382271,-0.478260869565217,161,133,28,4,,,,
1802,17to16,17,16,0.343069482449284,-0.26457399103139,223,164,59,4,,,,
1817,16to15,16,15,0.273637113495017,-0.650660264105642,833,291,542,4,,,,
1834,15to10,15,10,0.175251414864495,-1.1893921104727,834,357,477,3,,,,
1851,10to5,10,5,0.311956601136471,-0.796917497733454,1103,224,879,3,,,,
1867,5to0,5,0,0.121858501134097,-1.59659170230858,1102,223,879,3,,,,
1884,0to1,0,1,0.498462661374027,-0.924418604651163,516,39,477,2,,,,
1902,1to6,1,6,0.158519981859159,-1.76908841476485,551,73,478,3,,,,
1919,6to7,6,7,0.277781750820679,-0.768637532133676,389,90,299,4,,,,
1935,7to2,7,2,0.229595834779701,-0.826190476190476,420,73,347,4,,,,
1952,2to3,2,3,0.157304698424765,-1.52435956671287,453,75,378,3,,,,
1968,3to8,3,8,0.394620791408228,-0.86835474930713,294,75,219,3,,,,
1986,8to13,8,13,0.233637754423915,-0.929878048780488,328,23,305,4,,,,
2003,13to12,13,12,0.199259478747813,-0.947252747252747,455,24,431,4,,,,
2019,12to11,12,11,0.278104423448544,-0.753384936231652,455,397,58,4,,,,
2034,11to6,11,6,0.500390123673391,0,132,132,0,4,,,,
2051,6to1,6,1,0.237187770514016,-0.926621160409556,167,167,0,4,,,,
2068,1to0,1,0,0.245925341845559,-1.64578661098652,201,16,185,3,,,,
2084,0to5,0,5,0.313555242196895,-1.70796880158468,233,49,184,2,,,,
2101,5to10,5,10,0.37617405737795,-0.917602996254682,267,22,245,3,,,,
2119,10to15,10,15,0.160859304193616,-1.64356581895172,302,56,246,3,,,,
2134,15to20,15,20,0.168171899547704,-1.33289118271271,1168,590,578,3,,,,
2150,20to21,20,21,0.360999297860349,-1.62802648246851,556,120,436,2,,,,
2165,21to22,21,22,0.28492696152959,-1.52723383423439,556,151,405,3,,,,
2182,22to23,22,23,0.273401898286466,-1.22526850601325,426,239,187,3,,,,
2197,23to18,23,18,0.375754486045476,-0.976470588235294,425,10,415,3,,,,
2213,18to17,18,17,0.14608807991776,-1.45243927332109,426,11,415,4,,,,
2229,17to16,17,16,0.227747532041049,-0.836002562459962,427,183,244,4,,,,
2245,16to11,16,11,0.152153030687287,-1.30110048938814,226,145,81,4,,,,
2260,11to6,11,6,0.379990170310926,-0.491150442477876,226,115,111,4,,,,
2276,6to7,6,7,0.176400728869873,-1.35407170580314,357,148,209,4,,,,
2292,7to12,7,12,0.254403964135357,-0.843115895595711,289,172,117,4,,,,
2309,12to13,12,13,0.118155297726932,-1.78123362705406,323,16,307,4,,,,
2326,13to14,13,14,0.103872378497238,-1.75678257274425,618,16,602,4,,,,
2343,14to9,14,9,0.185089974286265,-1.78314562012752,652,83,569,3,,,,
2357,9to4,9,4,0.141461846080162,-1.67208627903327,907,113,794,3,,,,
2373,4to3,4,3,0.318672622996158,-1.39346639109109,421,146,275,2,,,,
2389,3to2,3,2,0.268497787449449,-1.45607766356665,454,178,276,3,,,,
2404,2to3,2,3,0.157304698424765,-1.52435956671287,31,31,0,3,,,,
2419,3to4,3,4,0.248237004591145,-1.53453638358673,62,62,0,3,,,,
2435,4to9,4,9,0.681327377003842,-0.633587786259542,92,92,0,2,,,,
2451,9to8,9,8,0.136689183310421,-1.89611616385685,483,35,448,3,,,,
2466,8to7,8,7,0.121622782361308,-1.72415395494494,190,36,154,4,,,,
2481,7to6,7,6,0.220650254516718,-0.98546042003231,221,221,0,4,,,,
2498,6to1,6,1,0.211764572517916,-1.24876881141627,447,303,144,4,,,,
2514,1to0,1,0,0.202726128292938,-1.89466553475333,446,335,111,3,,,,
2529,0to5,0,5,0.154412490816151,-2.62482273416895,445,37,408,2,,,,
2543,5to10,5,10,0.20517874511824,-1.76601928584744,442,67,375,3,,,,
2558,10to11,10,11,0.262649402498826,-1.47229106327073,313,35,278,3,,,,
2574,11to12,11,12,0.112298976761843,-1.86040668917327,282,30,252,4,,,,
2590,12to17,12,17,0.198539595601813,-1.37615502619171,377,198,179,4,,,,
2605,17to22,17,22,0.165957809072872,-1.24863896848138,440,231,209,4,,,,
2621,22to21,22,21,0.188622018019027,-1.73585286939818,471,196,275,3,,,,
2638,21to20,21,20,0.294510611116385,-1.71665202966432,504,195,309,3,,,,
2655,20to15,20,15,0.408266881196975,-1.99916112173177,536,31,505,2,,,,
2671,15to16,15,16,0.410432161003281,-0.927601809954751,442,32,410,3,,,,
2687,16to17,16,17,0.339522862415651,-0.498445998445999,97,97,0,4,,,,
2704,17to18,17,18,0.179822708929062,-1.24460849986975,507,322,185,4,,,,
2721,18to19,18,19,0.205690891952511,-1.28068769925061,996,355,641,4,,,,
2738,19to14,19,14,0.389205408960199,-0.980279126213592,412,227,185,3,,,,
2754,14to13,14,13,0.26545227152637,-1.79056506243709,445,7,438,3,,,,
2769,13to8,13,8,0.289461378322875,-0.856525157232704,318,198,120,4,,,,
2785,8to13,8,13,0.14514149752011,-1.70407159716758,31,7,24,4,,,,
2803,13to12,13,12,0.136530142686457,-1.7682134459427,229,41,188,4,,,,
2819,12to7,12,7,0.135937885877921,-1.96401796753948,353,1,352,4,,,,
2837,7to2,7,2,0.178622507202739,-1.29940476190476,448,236,212,4,,,,
2853,2to3,2,3,0.064661697863791,-2.51767805223626,449,3,446,3,,,,
2870,3to4,3,4,0.117646254456336,-2.44140999777742,451,42,409,3,,,,
2886,4to9,4,9,0.480998761917515,-1.46950796364313,451,74,377,2,,,,
2902,9to14,9,14,0.613802174107713,-0.62137049941928,164,107,57,3,,,,
2917,14to19,14,19,0.467118624704739,-1.22541687892681,196,196,0,3,,,,
2933,19to24,19,24,0.140490507655845,-2.08861428053219,1192,584,608,3,,,,
2950,24to23,24,23,0.350445544999624,-1.70792619262212,768,593,175,2,,,,
2965,23to22,23,22,0.117515600226342,-2.31835729847495,360,6,354,3,,,,
2981,22to17,22,17,0.28638112041618,-1.66819992245603,294,29,265,3,,,,
