gneJ14,gneJ12,gneJ11,gneJ10,gneJ7,gneJ6,gneJ5,gneJ4,gneJ3,gneJ2
68,14,29,37,312,4437,4512,387,65,19
69,30,62,66,70,69,68,274,4279,4039
356,2575,4341,2069,84,56,53,57,54,25
