time,edge,old node,possible nodes,probability (value_exp),value_coeff,expect,true,no.of neighbours
11851,-gneE11,gneJ10,gneJ14,0.086787566724041,-3.6544458369177,65.7368421052632,241,2
11891,-gneE11,gneJ10,gneJ14,0.193122421844089,-3.6544458369177,65.7368421052632,281,2
12014,-gneE11,gneJ10,gneJ14,0.375337877702121,-3.6544458369177,65.7368421052632,404,2
12053,-gneE11,gneJ10,gneJ14,0.601080154884053,-3.6544458369177,65.7368421052632,443,2
12094,-gneE11,gneJ10,gneJ14,0.996795366175601,1.67553404235796,76.4615384615385,484,2
12134,-gneE11,gneJ10,gneJ14,0.994879646855693,1.204984737262,75.55,40,2
12173,-gneE11,gneJ10,gneJ14,0.991770583243734,0.727363045004563,74.6585365853659,39,2
12214,-gneE11,gneJ10,gneJ14,0.98721862384547,0.282488770343054,73.8571428571429,41,2
14436,-gneE11,gneJ10,gneJ14,0.979513393108305,-0.19712906405185,73.0232558139535,38,2
14476,-gneE11,gneJ10,gneJ14,0.96834657445696,-0.643669944554995,72.2727272727273,40,2
14516,-gneE11,gneJ10,gneJ14,0.951650864695269,-1.08466373337487,71.5555555555556,40,2
14557,-gneE11,gneJ10,gneJ14,0.928115804794873,-1.50631353404951,70.8913043478261,41,2
14598,-gneE11,gneJ10,gneJ14,0.281294686455696,-1.50631353404951,70.8913043478261,41,2
14639,-gneE11,gneJ10,gneJ14,0.496709714691122,-1.50631353404951,70.8913043478261,82,2
14682,-gneE11,gneJ10,gneJ14,0.712033156654962,-1.50631353404951,70.8913043478261,125,2
14721,-gneE11,gneJ10,gneJ14,0.861615896741176,-1.50631353404951,70.8913043478261,164,2
14801,-gneE11,gneJ10,gneJ14,0.983708300888358,0.765583755536795,74.5744680851064,244,2
14840,-gneE11,gneJ10,gneJ14,0.974140824671679,0.293800459825734,73.8333333333333,39,2
14880,-gneE11,gneJ10,gneJ14,0.959912031482328,-0.159324540174266,73.1428571428571,40,2
16167,-gneE11,gneJ10,gneJ14,0.937046553377527,-0.634752480538706,72.44,38,2
16207,-gneE11,gneJ10,gneJ14,0.905287800615579,-1.07767984263592,71.8039215686274,40,2
16284,-gneE11,gneJ10,gneJ14,0.858801377714686,-1.52971983182803,71.1730769230769,39,2
16325,-gneE11,gneJ10,gneJ14,0.799964997121894,-1.94901432675053,70.6037735849057,41,2
16402,-gneE11,gneJ10,gneJ14,0.716858713522031,-2.40615718389339,70,38,2
16522,-gneE11,gneJ10,gneJ14,0.626935513293143,-2.81599753982116,69.4727272727273,41,2
18091,-gneE11,gneJ10,gneJ14,0.52479289376961,-3.23583695966058,68.9464285714286,40,2
18130,-gneE11,gneJ10,gneJ14,0.011676743618509,-3.23583695966058,68.9464285714286,39,2
18171,-gneE11,gneJ10,gneJ14,0.029086447596272,-3.23583695966058,68.9464285714286,80,2
18212,-gneE11,gneJ10,gneJ14,0.070458228411905,-3.23583695966058,68.9464285714286,121,2
18254,-gneE11,gneJ10,gneJ14,0.160391558360851,-3.23583695966058,68.9464285714286,163,2
18333,-gneE11,gneJ10,gneJ14,0.325722361946072,-3.23583695966058,68.9464285714286,242,2
18412,-gneE11,gneJ10,gneJ14,0.933861848590632,0.139342380368118,73.3684210526316,321,2
18451,-gneE11,gneJ10,gneJ14,0.8987556892399,-0.324765650904092,72.7758620689655,39,2
18493,-gneE11,gneJ10,gneJ14,0.853804254748947,-0.743484862726753,72.2542372881356,42,2
18535,-gneE11,gneJ10,gneJ14,0.794149469450495,-1.15811900906822,71.75,42,2
18575,-gneE11,gneJ10,gneJ14,0.71334512506649,-1.596553991807,71.2295081967213,40,2
18615,-gneE11,gneJ10,gneJ14,0.811172939589599,-1.596553991807,71.2295081967213,40,2
18654,-gneE11,gneJ10,gneJ14,0.827039978755934,-1.48941113466414,71.3548387096774,79,2
